model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
gemma2:2b,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""instruction"": ""Return only valid JSON matching the schema."",
  ""body"": {
    ""message"": ""We encountered a delay in meeting the original timeline. We apologize for any inconvenience this may cause.""
  }
}
``` 
",55.739459030600116,0.4408346000054735,1.664353200001642,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""apology"", ""response"": ""Timeline adjustment necessary. Apologies for inconvenience."" , ""tone"": ""professional"", ""key_points"": [""timeline adjustment"", ""inconvenience""] , ""constraints_followed"": [""short"", ""internal email"", ""suitable for professional communication""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""apology"", ""response"": ""We experienced a setback with the timeline. Apologies for any inconvenience this may cause."" , ""tone"": ""professional, calm"" , ""key_points"": [ ""timeline"", ""inconvenience"" ] , ""constraints_followed"": [""short""]
  , ""risks_or_caveats"": []}",True,,"{""intent"": ""apology"", ""response"": ""We apologize for the deviation in our timeline. We are working to rectify the situation.\n"" , ""tone"": ""professional, calm"" , ""key_points"": [
  ""Apologies for the timeline delay.""
  , ""Actions being taken to correct""
  , ""Proactive communication with stakeholders is planned""] ,""constraints_followed"": [""None"", ""Please note that we are working on improving our communication.""]
   , ""risks_or_caveats"": [
""Delay in timeline will impact deliverables."",
""Stakeholders may be affected negatively.""]
 }"
gemma2:2b,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""summary"": ""QA confirmed no blocking bugs and the design finalized the final mockup."",
  ""release_status"": ""Release scheduled for Friday.""
}
```",55.043568326856764,0.5387788000007276,1.3999193999989075,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""update_status"", ""response"": ""QA has confirmed no blocking bugs, design approved the final mockup, and release is still planned for Friday."" , ""tone"": ""positive"" , ""key_points"": [""QA""], ""constraints_followed"": [""no blocking bugs"", ""design approved final mockup"", ""release on friday""]
  	 	 	 	 	 	 	 	 	 ,""risks_or_caveats"": []}",True,,"{""intent"": ""update_progress"", ""response"": ""QA has completed their review with no blocking issues, design approved the final mockup, and release is still planned for Friday."", ""tone"": ""positive"" , ""key_points"": [ ""]} </td> </tr> </table> </s> </td> </tr> </table> </b>  </body> </html> <h2>Summary: </h2> <h3>  QA cleared all bugs. The design team approved the final mockup, and the release is still scheduled for this Friday. </h3>  </b> </b> </b> </b> </b> </b> </td> </tr> </table>  <br/> </b> </i> </b> </b> </b> </sup> </b> </b> </b> </b> </b> </b> </b> </b> </b> </b> </b> </b> </b> </sup> </b> </b> </b> </b> </b> </b> </b> </b> </b> </b> </i> ```json  { ""
   	    	 	  		  	  , ""_"" , "","" ],""constraints_followed"": [], ""risks_or_caveats"": []} ",True,,"{""intent"": ""update_status"",
""response"": ""}```json{    ""
  	  		 	  	  		 	  ,""tone"":""official"",""key_points"": [
				  	  	  			  ""QA confirmed no blocking bugs."",
				  	  	  			  ""Design team approved the final mockup."",
				  	  	  			  ""Release is still planned for Friday.""
  	 		 	  ] , ""constraints_followed"": [
  ""no blockers"", ""approval on design"", ""release plan maintained""] ,""risks_or_caveats"": []}
 	    	   	   	 	   "
gemma2:2b,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""message_classification"": ""neutral"",
  ""explanation"": ""The message conveys a factual report without expressing sentiment."" 
}
```",51.028413896567955,0.4533820999931777,1.261335399998643,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""neutral"", ""response"": ""This message indicates a successful outcome after multiple attempts, but doesn't express positive or negative sentiment."" ,""tone"": ""informative"" , ""key_points"": [""deployment"", ""retries"", ""success""] ,""constraints_followed"": [""no text outside JSON"", ""only valid JSON matching the schema""]
  	  	   	   	   	  , ""risks_or_caveats"": [""missing context""] }",True,,"{""intent"": ""classify_message"", ""response"": ""negative"", ""tone"": ""frustrated"" ,""key_points"": [""deployment failure"", ""retries""] , ""constraints_followed"": [ ""success after multiple attempts""] ,""risks_or_caveats"": []} ",True,,"{""intent"": ""positive"", ""response"": ""This indicates a successful outcome despite multiple attempts, highlighting relief and satisfaction."",""tone"": ""triumphant"" , ""key_points"": [ ""successful deployment"", ""retries""]
 	  		  	  	  	  	  , ""constraints_followed"": []
			   	       	  	  , ""risks_or_caveats"": [""potential delay""] } "
gemma2:2b,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""schema"": ""return_only_valid_json_matching_the_schema"",
  ""value"": ""Think of a cache like a tiny helper for your app. It saves stuff you use often so the whole app doesn't need to go searching for it every time, saving time and energy."" 
}
```",53.78927127801372,0.4555781000017305,2.042723400001705,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""Explain caching in simple terms"", ""response"": ""Imagine you're making a sandwich. You don't want to start from scratch every time, right?  Caching is like storing all the ingredients for your sandwich so you can grab them quickly and easily when you need them. 🍔"" , ""tone"": ""simple"", ""key_points"": [""caching stores data"", ""so it's faster to use""], ""constraints_followed"": [""no text outside of JSON"", ""only valid JSON matching the schema""]
  	 	 	 	 	 	 	 	 	 ,""risks_or_caveats"": [""not all data is stored in a cache"", ""the app may still need to fetch some data from scratch""]}",True,,"{""intent"": ""Explanation of Caching"", ""response"": ""Imagine you're looking up a recipe online. Instead of always having to search for every ingredient, your phone can keep a list of those ingredients saved so you don't have to look them up again when you need them. That's basically what caching does! It saves often-used information (like website data or even just the steps in a game) so that your app doesn't waste time searching for it every time someone uses it."" , ""tone"": ""Plain Language"" , ""key_points"": [""Saves frequently used data"", ""Quick access to data without re-fetching""] ,""constraints_followed"": [""Use of plain language"", ""Explanation of technical concept in layman's terms"", ""Examples for clarity and understanding""]
  , ""risks_or_caveats"": [""Technical terms like 'app' might not be understood by everyone"", ""The use of the word "" ,"", "" ,"", "" ,"", "" ,"", and "" ,"" can make the explanation hard to follow. ""]
}",True,,"{""intent"": ""Explanation for non-technical user"", ""response"": ""Imagine you're building a website, and everyone loads the same page over and over again.  Caching is like storing a copy of that page on your computer so the next time someone wants to see it, it only needs to load the data from the stored copy instead of always going back to the main server. This makes things faster!"" ,""tone"": ""Simple explanation for everyone"" , ""key_points"": [""Caching stores important data""],""constraints_followed"": [
""return json"", ""]} ```json <h2>{""
  	 	 	 	 	  	 	 	  , "":  "" ,"" 1} </h2>   { </b> "" ,"" <b> , 2) }    { </b> 0. <b> </b> , 6 5  "" ,"" 4 6, 8, 7 </b> 0,  'return json', 'in': 3,  "" ,""  9},  } ""
  	 	 	 	 	  , "","" ,"" 1} </h1>   { </b> 0. <b> </b> , 6  "" ,"" 4 6, 8, 7 </b> 0,  'return json', 'in': 3,  "" ,""  9}, </b> 0} ``` </s> </s>   The JSON Schema is: <u> <br/></u> <b>{</b> "" ,"" <b> ,  **"" ,"" to  </b>} </i>.  <b><br/>  <br/> </b> ** </b> * </b>   </body> </html>    <script src="" ],""risks_or_caveats""
     		  : [""return json"", ""in=3"", ""return json"", ""return json"", ""return json"", ""return json""] } "
gemma2:2b,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""message"": ""Hey [Colleague's Name], I'm still finalizing the report on [subject of the report].  I'll send it over as soon as it's ready! How about I check in with you later this week for an update?"",
  ""response_type"": ""text"",
} 
```",55.94785602436113,25.716631600000255,27.352508700001636,2613.21875,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""response"", ""response"": ""Hi [Colleague's Name],  Thanks for reaching out! The latest report is still in progress, but I'll keep you updated on its completion. Let me know if there's anything else I can help with in the meantime."" ,""tone"": ""polite and honest"" , ""key_points"": [""report is not ready yet"", ""will update colleague"", ""can help with other things""]
  , ""constraints_followed"": [""no text outside JSON"", ""only valid JSON matching schema""] ,""risks_or_caveats"": []}",True,,"{
  ""intent"": ""response"",
  ""response"": ""Hey [Colleague's name], thanks for reaching out!  I wanted to let you know that the latest report isn't quite ready yet. I'm working on finalizing it, and I'll send it over as soon as possible.""
  ,""tone"": ""polite"" , ""key_points"": [
    ""acknowledgement of request"", "",""
    ] ,""constraints_followed"": [
    ""no text outside JSON""
  ]
  ,""risks_or_caveats"": [
    ""none""
  ]
}",True,,"{""intent"": ""response"", ""response"": ""Hi [Colleague Name], thanks for your request!  The latest report isn't quite finished yet, but I'll update you as soon as it is ready. Is there anything else I can help with in the meantime?"" ,""tone"": ""polite"",""key_points"": [""latest report is not yet complete""],""constraints_followed"": [""respecting timelines"", ""being honest""]
 	   	   		   		 	  , ""risks_or_caveats"": [""""]}"
gemma2:2b,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""action_items"": [
    {
      ""task"": ""update the docs"",
      ""details"": """"
    },
    {
      ""task"": ""run the regression tests"",
      ""details"": """"
    },
    {
      ""task"": ""send the summary to Priya"",
      ""details"": """" 
    }
  ]
}
```",55.98342791007768,25.212093999994977,27.08070199999929,2613.21875,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""action_items"", ""response"": ""Update the docs\nRun the regression tests\nsend the summary to Priya"" , ""tone"": ""instructional"", ""key_points"": [""update the docs"", ""run the regression tests"", ""send the summary to Priya""] ,""constraints_followed"": [] , ""risks_or_caveats"": []}",True,,"{""intent"": ""actions"", ""response"": ""Update the docs, run the regression tests, and send the summary to Priya."" , ""tone"": ""instructional"", ""key_points"": [
  ""update the docs"",
  ""run the regression tests"",
  ""send the summary to Priya""
]
  ,""constraints_followed"": [""Update the docs"", ""Run the regression tests"", ""Send the summary to Priya""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""list_of_actions"", ""response"": ""[{\""task\"": \""update the docs\""}, {\""task\"": \""run the regression tests\""}, {\""task\"": \""send the summary to Priya\""} ]"" , ""tone"": ""informative"", ""key_points"": [ ""Update the documents"", ""Run regression tests"", ""Send the summary"" ]
 	  	   	 	   	  	 	, ""constraints_followed"": [ ""priya"", ""document update"", ""regression test"", ""summary""] , ""risks_or_caveats"": []}"
gemma2:2b,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""message"": ""I apologize for the delay in my response. Please let me know if you have any questions or need assistance."",
  ""sender_id"": null,
  ""recipient_id"": null 
}
``` 


Let me know if you'd like to explore more advanced responses! 
",56.14690553252379,8.824091399997997,10.334520299998985,2613.21875,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""apology"", ""response"": ""I apologize for the delayed response. I'm currently working on [brief explanation of reason]. Please let me know if you have any questions."" ,""tone"": ""professional"" , ""key_points"": [""apology"", ""explanation"", ""questions""] ,""constraints_followed"": [""no text outside JSON"", ""under 40 words"", ""professional tone""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""apology"", ""response"": ""I apologize for the delay in responding. I'm back online now and happy to assist you."" , ""tone"": ""polite"" , ""key_points"": [""delay in response"", ""back online now"", ""assist you""]
  	 	 	   	 	 	 	 	 ,""constraints_followed"": [ ""apology"", ""customer service"", ""online""] ,""risks_or_caveats"": [ ""delay"", ""customer dissatisfaction""]} ",True,,"{""intent"": ""apology"", ""response"": ""My apologies for the delay in responding. I'm now back online and ready to assist you further."" , ""tone"": ""casual,"" , ""key_points"": [""Delay""] , ""constraints_followed"": [""professional"", ""concise"", ""under 40 words""], ""risks_or_caveats"": []}"
gemma2:2b,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""intent"": ""billing"",
  ""response_text"": ""I'll look into that invoice for you."" 
}
```",50.78172828277072,0.42717999999877065,1.2314664000004996,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""billing"", ""response"": ""I understand you're concerned about your invoice amount. Can you please provide me with your invoice number so I can look into this for you?""
  	 	  	  	  	  	  	, ""tone"": ""support"" , ""key_points"": [""invoice"", ""billing""] ,""constraints_followed"" : [] ,""risks_or_caveats"": []}
",True,,"{""intent"": ""billing"", ""response"": ""I understand you are concerned about your invoice amount. Could you please provide me with the invoice number or a screenshot for further assistance?""
 	  	  	  	  	  	  	,
""tone"": ""neutral"" , ""key_points"": [ ""invoice number"", ""screenshot"" ], ""constraints_followed"" : [""billing""]
     	   	 	  		  	 ,""risks_or_caveats"": []} ",True,,"{""intent"": ""billing"", ""response"": ""I'd be happy to take a look at your invoice. Could you please share your account details so I can review them? "" ,""tone"":""helpful"" , ""key_points"": [""invoice"", ""account_details""] ,""constraints_followed""
  	   	   		  	   	 : [ ""user_id""], ""risks_or_caveats"" : []}"
gemma2:2b,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""response"": ""Could you please send me the file today? Thanks!"" 
}
```",49.26947061048706,0.45401520000450546,1.0732819000040763,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""request"", ""response"": ""Could you please send me the file today? Thanks!"" , ""tone"": ""polite"" , ""key_points"": [""file"", ""today""] , ""constraints_followed"": [""formal"", ""professional"", ""positive""] , ""risks_or_caveats"": []} ",True,,"{""intent"": ""request_file"", ""response"": ""Could you please send the file over today? Thanks!"" , ""tone"": ""polite"" , ""key_points"": [""requesting_file"", ""asking_for_today's_delivery""] ,""constraints_followed"": [""sender_expectations"", ""recipient_expectations"", ""communication_style""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""request_file"", ""response"": ""Would you mind sending over the file as soon as possible? Thanks!""
  ,""tone"": ""polite"" , ""key_points"": [""Please"", ""as soon as possible""] ,""constraints_followed"": [""friendly""] ,""risks_or_caveats"": [""no explicit timeline is given""]}"
gemma2:2b,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""response"": ""Backing up your critical data is crucial before a software upgrade to prevent potential loss of information, productivity, or even business disruption during the process. A thorough backup ensures you can restore your data and systems if anything goes wrong, minimizing downtime and financial setbacks."" 
}
```",53.06553142878461,0.43039150000549853,1.8603926000068896,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-it:gemma2:2b,gemma-2-2b-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""explain_backup_importance"", ""response"": ""Backups are crucial before software upgrades to prevent data loss.  If something goes wrong during the upgrade, backups ensure you can restore your business's critical files and systems, minimizing downtime and potential financial losses."" ,""tone"": ""informative"", ""key_points"": [""data loss prevention"", ""system restoration"", ""minimizing downtime"", ""financial losses""]
  	  	   	  	  	  	 ,""constraints_followed"": [""schema_type: Chat & Generation JSON""] ,""risks_or_caveats"": [""Data loss can be catastrophic for a small business. A backup ensures you're prepared to recover from any unforeseen issues.""]
}",True,,"{
  ""intent"": ""Explain"",
  ""response"": ""Backing up your software before an upgrade is crucial to minimize disruption. If something goes wrong during the process, you can restore your data and systems quickly, preventing potential downtime and financial losses. This ensures minimal impact on your business operations.""
  ,""tone"": ""Formal"", ""key_points"": [
    ""Data restoration is essential after software upgrades."",
    ""Preventing disruptions in your business operations is key."",
    ""Minimizing downtime and financial losses is vital for success""
  ],
  ""constraints_followed"": [
    ""Short paragraph"", ""Explaining the importance of backups""
  ]
  ,""risks_or_caveats"": [
    ""Not backing up software can lead to significant financial or operational consequences.""
  ]
} ",True,,"{""intent"": ""to provide guidance on data security and disaster preparedness"", ""response"": ""[{\""type\"": \""text\"", \""value\"": \""Backups are crucial before software upgrades to prevent potential loss of valuable business information.\""""
  ,""tone"":""serious, informative"" , ""key_points"": [ ""}\n] }""]
   	    		   				 		, ""constraints_followed"": [""\t{type: \""schema\"", \""schema\"": \\{ \""type\"":\\\""object\\\"",\\\""properties\"": { \\n         \""i\"":\\\""string\\\"",\\\""j\"":\\\""int\\\"",\\\""k\"":\\\""boolean\\\"",\\\""l\"":\\\""string\\\"" \"",\\\""m\"":""
  		   				 			, ""key_points"" , ""schema_description"" ]

        	  	       	,""risks_or_caveats"": [""\t{type: \""schema\"", \""schema\"": \\{ \""name\"":\""Backups before Software Upgrades\"" , \""description\"": \""Data loss can result from software malfunctions, bugs, or unexpected data corruption.\"", \""properties\"": \n         [\""Backup Importance\""],\n        }""]
  		    				} "
