model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
gemma:2b,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","Sure, here's the rewritten sentence in a professional and calm tone:

```json
{
  ""type"": ""chat.reply"",
  ""text"": ""We regret to inform you that we encountered a timeline issue and are sincerely sorry for the inconvenience caused.""
}
```",59.871840889306874,0.3973058999981731,1.4967860000033397,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""Acknowledge Error"",
  ""response"": ""We acknowledge that we made a mistake in the timeline and sincerely apologize for any inconvenience caused.""
  ,""tone"": ""Calm and professional""
  ,""key_points"": [
    ""We messed up the timeline""
  ]
  ,""constraints_followed"": [
    ""user_error""
  ]
  ,""risks_or_caveats"": [
    ""timeline_failure""
  ]
}",True,,"{
  ""intent"": ""response"",
  ""response"": ""We acknowledge the timeline mishap and sincerely apologize for any inconvenience it may have caused.""
  ,""tone"": ""professional"",
  ""key_points"": [
    ""Timeline mishap"",
    ""We sincerely apologize""
  ]
  ,""constraints_followed"": [
    ""none""
  ]
  ,""risks_or_caveats"": [
    ""none""
  ]
}",True,,"{
  ""intent"": ""inform"",
  ""response"": ""We acknowledge that we encountered a timeline issue and sincerely apologize for any inconvenience it may have caused.""
  ,""tone"": ""Calm, professional, and sincere""
  ,""key_points"": [
    ""We messed up the timeline.""
    ,""We are truly sorry for the inconvenience caused.""
  ]
  ,""constraints_followed"": [
    ""Valid for all intents and domains.""
  ]
  ,""risks_or_caveats"": []
}"
gemma:2b,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""status"": ""success"",
  ""message"": ""No blocking bugs found, design approved the final mockup, and release is still planned for Friday.""
}",53.87825117021377,0.5045373999964795,1.238858299999265,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""QA"",
  ""response"": ""No blocking bugs found"",
  ""tone"": ""Design"",
  ""key_points"": [
    ""Final mockup approved""
  ],
  ""constraints_followed"": [
    ""Release is still planned for Friday""
  ]
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""QA"",
  ""response"": ""No blocking bugs found"",
  ""tone"": ""success"",
  ""key_points"": [
    ""Design approved the final mockup"",
    ""Release is still planned for Friday""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""QA"",
  ""response"": ""No blocking bugs found"",
  ""tone"": ""Design"",
  ""key_points"": [
    ""Final mockup approved""
  ],
  ""constraints_followed"": [],
  ""risks_or_caveats"": []
}"
gemma:2b,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""return"": true,
  ""message"": ""The deployment finally worked after two retries.""
}
```
The message is positive because it indicates that the deployment worked after two retries.",54.09536509653821,0.5072680000012042,1.359430300006352,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""positive"",
  ""response"": ""The deployment finally worked after two retries.""
  ,""tone"": ""neutral""
  ,""key_points"": [
    ""deployment"",
    ""retries""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""positive"",
  ""response"": ""The deployment finally worked after two retries.""
  ,""tone"": ""neutral""
  ,""key_points"": [
    ""deployment"",
    ""retries"",
    ""finally""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""classification"",
  ""response"": ""positive"",
  ""tone"": ""neutral""
  ,""key_points"": [
    ""deployment"",
    ""retries"",
    ""finally""
  ]
  ,""constraints_followed"": [
    ""after""
  ]
  ,""risks_or_caveats"": []
}"
gemma:2b,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"Sure. Here's the plain English explanation using the Chat & Generation JSON schema:

```json
{
  ""schema"": {
    ""type"": ""object"",
    ""properties"": {
      ""return"": {
        ""type"": ""boolean"",
        ""description"": ""Return True if caching should be used""
      }
    }
  }
}
```

This JSON schema defines an object called `return`. It has one property called `return` with a type of `boolean` and a description that tells us whether to use caching. If `return` is set to `",57.68777483379837,0.5101775000002817,2.895775400000275,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""explain"",
  ""response"": ""Sure, here's a plain English explanation of the technical explanation you provided:\n\nCaching stores frequently used data so the app does not have to fetch it from scratch each time. This can significantly improve the app's performance, as it reduces the number of network requests and server calls.\n\nHere's a breakdown of the key terms:\n\n* **Caching:** A technique that stores data locally on the device or server for faster access. This can be used to improve the performance of web and mobile apps. \n\n* **Data:** The information that the app wants to store and access frequently. \n\n* **API:** The application programming interface, which allows apps to communicate with web services. \n\n* **Network request:** A request sent to a server to retrieve data. \n\n* **Server:** The computer that hosts the website or app that the app wants to access. \n\nBy using caching, the app can avoid making these network requests and instead use the stored data. This can significantly improve the app's performance.\n\nI hope this explanation is helpful! Let me know if you have any other questions.""
  ,
  ""tone"": ""friendly""
  ,
  ""key_points"": [
    ""Caching is a technique that stores data locally for faster access."",
    ""It can significantly improve the app's performance by reducing the number of network requests."",
    ""It uses data that is frequently accessed by the app."",
    ""It avoids making network requests and uses stored data instead.""
  ]
  ,
  ""constraints_followed"": [
    ""schema.json""
  ]
  ,
  ""risks_or_caveats"": [
    ""schema.json""
  ]
}",True,,"{
  ""intent"": ""Return only valid JSON matching the schema."",
  ""response"": ""{""
    , ""tone"": ""info"",
    ""key_points"": [
      ""Caching stores frequently used data so the app does not fetch it from scratch each time.""
    ]
  ,""constraints_followed"": [
    ""schema""
  ]
  ,""risks_or_caveats"": [
    ""Invalid data can cause performance issues.""
  ]
}",True,,"{
  ""intent"": ""Return only valid JSON matching the schema."",
  ""response"": ""true"",
  ""tone"": ""info"",
  ""key_points"": [
    ""Caching stores frequently used data."",
    ""This prevents the app from fetching it from scratch each time."",
    ""This can improve performance by reducing the number of network requests.""
  ]
  ,""constraints_followed"": [
    ""schema_reference.json""
  ]
  ,""risks_or_caveats"": [
    ""If the schema is invalid or changed, the app may not work as expected.""
  ]
}"
gemma:2b,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""response"": {
    ""status"": ""success"",
    ""data"": null,
    ""message"": ""Report is not ready yet, but it will be available shortly.""
  }
}",58.7597908501504,0.4493977000020095,1.3128073000043514,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""status"",
  ""response"": ""Report is not ready yet. It is expected to be available in [estimated time frame]. Please check back later.""
  ,""tone"": ""Friendly""
  ,""key_points"": [
    ""Report is not ready"",
    ""Estimated time frame: [estimated time frame]""
  ]
  ,""constraints_followed"": [
    ""not_ready""
  ]
  ,""risks_or_caveats"": [
    ""report_not_ready""
  ]
}",True,,"{
  ""intent"": ""status"",
  ""response"": ""Currently, the report is not ready for release. It is expected to be available in [estimated release date].""
  ,""tone"": ""friendly_neutral""
  ,""key_points"": [
    ""The report is not yet finished.""
  ]
  ,""constraints_followed"": [
    ""Do not generate any additional content.""
  ]
  ,""risks_or_caveats"": [
    ""There are no immediate risks or concerns associated with this response.""
  ]
}",True,,"{
  ""intent"": ""get_report_status"",
  ""response"": ""Report is not yet ready, but it will be available shortly. Please check back later.""
  ,""tone"": ""Friendly"",
  ""key_points"": []
  ,""constraints_followed"": [
    ""Do not provide an actual report, only the status""
  ]
  ,""risks_or_caveats"": [
    ""The report is not ready, so there may be some information missing or not yet formatted.""
  ]
}"
gemma:2b,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""actionItems"": [
    {
      ""type"": ""update_docs""
    },
    {
      ""type"": ""run_regression_tests""
    },
    {
      ""type"": ""send_summary_to_priya""
    }
  ]
}
```",56.82253600206773,0.5020682000031229,1.9001369000034174,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""update_docs_regression_test_summary"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya.""
  ,
  ""tone"": ""informative""
  ,
  ""key_points"": [
    ""update the docs"",
    ""run the regression tests"",
    ""send the summary to Priya""
  ]
  ,
  ""constraints_followed"": []
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""Update Docs and Run Regression Tests"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya.""
  ,""tone"": ""Informative""
  ,""key_points"": [
    ""Update the docs"",
    ""Run regression tests"",
    ""Send the summary to Priya""
  ]
  ,""constraints_followed"": [
    ""user_name: Priya""
  ]
  ,""risks_or_caveats"": [
    ""Please ensure that the docs are up-to-date before running the regression tests.""
  ]
}",True,,"{
  ""intent"": ""update_docs_and_tests_and_generate_summary"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya"",
  ""tone"": ""Priya""
  ,""key_points"": [
    ""update_docs"",
    ""run_regression_tests"",
    ""send_summary""
  ]
  ,""constraints_followed"": [
    ""valid_intent""
  ]
  ,""risks_or_caveats"": []
}"
gemma:2b,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""return"": ""success"",
  ""message"": ""Your message has been received, but I am currently delayed due to unforeseen circumstances.""
}
```",53.220778210594624,0.515513500002271,1.3036291000025813,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""post_reply"",
  ""response"": ""I am truly sorry for the late reply. Please let me know if there is anything I can do to assist you further.""
  ,""tone"": ""casual""
  ,""key_points"": [
    ""I understand that you may be frustrated"",
    ""I value your business and will do my best to improve my response time in the future""
  ]
  ,""constraints_followed"": [
    ""Return only valid JSON matching the schema""
  ]
  ,""risks_or_caveats"": [
    ""I may not have fully understood the customer's question, leading to a delayed response.""
  ]
}",True,,"{
  ""intent"": ""post-request-reply"",
  ""response"": ""Your message is received and will be responded to shortly.""
  ,""tone"": ""informative""
  ,""key_points"": [
    ""We appreciate your patience and understanding.""
  ]
  ,""constraints_followed"": [
    ""no_additional_content""
  ]
  ,""risks_or_caveats"": [
    ""none""
  ]
}",True,,"{
  ""intent"": ""message"",
  ""response"": ""I'm truly sorry for the late reply. Please let me know if there's anything I can do to assist you further.""
  ,""tone"": ""polite""
  ,""key_points"": [
    ""I'm aware that I haven't been responsive lately. I'm working on catching up on customer inquiries.""
  ]
  ,""constraints_followed"": [
    ""no_duplicate""
  ]
  ,""risks_or_caveats"": [
    ""not_answered_within_24_hours""
  ]
}"
gemma:2b,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""type"": ""sales""
}
",46.69315485533384,0.43793120000191266,0.7319844000012381,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""request_help"",
  ""response"": ""This is a support request. Please contact our support team at [support_email@example.com].""
  ,""tone"": ""Informative""
  ,""key_points"": [
    ""My invoice amount looks wrong.""
  ]
  ,""constraints_followed"": [
    ""schema.type == 'string'""
  ]
  ,""risks_or_caveats"": [
    ""This request could be a phishing attempt.""
  ]
}",True,,"{
  ""intent"": ""request_help"",
  ""response"": ""This is a support request. Please contact our support team at [support_email@example.com].""
  ,""tone"": ""Informative""
  ,""key_points"": [
    ""My invoice amount looks wrong.""
  ]
  ,""constraints_followed"": [
    ""intent""
  ]
  ,""risks_or_caveats"": [
    ""invalid_request""
  ]
}",True,,"{""intent"":""request_help"", ""response"":""Support"", ""tone"":""informative"" ,""key_points"":[
  ""invoice_amount_looks_wrong""
]
  ,""constraints_followed"": [
  ""schema_validation_error""
  ]
  ,""risks_or_caveats"": [
  ""invalid_amount""
  ]
}"
gemma:2b,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""type"": ""request"",
  ""properties"": {
    ""file"": {
      ""type"": ""string"",
      ""format"": ""uuid""
    }
  }
}
```",58.27308068182247,0.44238920000498183,1.3735641000021133,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""send_file"",
  ""response"": ""Sure, I can help you with that. Please send the file to me today and I will process it promptly."",
  ""tone"": ""friendly""
  ,""key_points"": [
    ""Please ensure that the file is in a supported format and that you have the necessary permissions to access and transfer it.""
  ]
  ,""constraints_followed"": [
    ""Only send files that are valid JSON objects.""
  ]
  ,""risks_or_caveats"": [
    ""We cannot accept files that are malicious, corrupted, or otherwise unsafe.""
  ]
}",True,,"{
  ""intent"": ""send_file"",
  ""response"": ""Sending the file today.""
  ,
  ""tone"": ""informal""
  ,
  ""key_points"": [
    ""Please ensure the file you are sending is valid JSON format.""
  ]
  ,
  ""constraints_followed"": [
    ""The file must be a JSON string.""
  ]
  ,
  ""risks_or_caveats"": [
    ""If the file is not valid JSON, please notify the user and provide an alternative way to submit the file.""
  ]
}",True,,"{
  ""intent"": ""send_file"",
  ""response"": ""Sure, I can help with that. Please send the file to me today."",
  ""tone"": ""friendly""
  ,
  ""key_points"": [
    ""Please ensure the file is in a supported format (e.g., .docx, .pdf).""
  ]
  ,
  ""constraints_followed"": [
    ""The file name must be provided as a string.""
  ]
  ,
  ""risks_or_caveats"": [
    ""The file may be sensitive and should only be sent by authorized personnel.""
  ]
}"
gemma:2b,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"Sure, here is the JSON response you requested:

```json
{
  ""type"": ""paragraph"",
  ""text"": ""Backups matter before a software upgrade because they ensure that you have a copy of your data that you can restore in the event of a system failure or data loss during the upgrade process. This can help you minimize downtime and data loss, which can significantly impact your business.""
}
```",56.978769386783476,0.43521160000091186,2.078055799996946,2398.71484375,1.0,,Chat:ollama:gemma-1.1-2b-it:gemma:2b,gemma-1.1-2b-it,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""explain_backup_importance"",
  ""response"": ""Sure, here's why backups matter before a software upgrade: 💻 🛡️ 🧠 💻\n""
  ,
  ""tone"": ""Informative"",
  ""key_points"": [
    ""Protecting data ensures everything is safe and recoverable after a software upgrade.""
  ]
  ,
  ""constraints_followed"": [
    ""valid_json""
  ]
  ,
  ""risks_or_caveats"": [
    ""Losing data can be a major headache, especially for small businesses with sensitive information.""
  ]
}",True,,"{
  ""intent"": ""speak"",
  ""response"": ""Sure, backups are crucial before any software upgrade to ensure minimal disruption and data integrity. A well-executed backup allows you to restore your system's data and software to its previous state in the event of a corruption or system failure. This ensures minimal downtime and ensures you get to utilize the latest version of your software without facing data loss or functionality issues.""
  ,""tone"": ""friendly""
  ,""key_points"": [
    ""Minimize downtime""
    ,""Protect data integrity""
    ,""Ensure software functionality""
  ]
  ,""constraints_followed"": [
    ""only_valid_json""
  ]
  ,""risks_or_caveats"": [
    ""Data loss or system functionality issues""
  ]
}",True,,"{
  ""intent"": ""help-chat"",
  ""response"": ""Backups matter before any software upgrade because they allow you to revert to a previous version of your data in case of data loss or corruption during the upgrade process. This helps you minimize downtime and keep your business operations running smoothly."",
  ""tone"": ""informative""
  ,""key_points"": [
    ""Protect against data loss or corruption.""
  ]
  ,""constraints_followed"": [
    ""schema.additionalProperties = { 'data_loss_corruption': 'true' }""
  ]
  ,""risks_or_caveats"": [
    ""Data loss or corruption can lead to significant downtime and financial losses. Having backups mitigates these risks.""
  ]
}"
