model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
gemma:2b,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","Sure, here's the rewritten sentence in a professional tone:

```json
{
  ""return"": ""valid"",
  ""message"": ""Timeline was not met due to unforeseen circumstances.""
}
```",60.66358311036169,0.3668945999961579,1.191406799996912,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""Acknowledge Error"",
  ""response"": ""We acknowledge that we made a mistake in the timeline and sincerely apologize for any inconvenience caused.""
  ,""tone"": ""Calm and professional""
  ,""key_points"": [
    ""We messed up the timeline""
  ]
  ,""constraints_followed"": [
    ""user_error""
  ]
  ,""risks_or_caveats"": [
    ""timeline_failure""
  ]
}",True,,"{
  ""intent"": ""formal_apology"",
  ""response"": ""We acknowledge that we fell behind on the timeline and sincerely apologize for any inconvenience this may have caused.""
  ,""tone"": ""calm""
  ,""key_points"": [
    ""We messed up the timeline.""
  ]
  ,""constraints_followed"": [
    ""none""
  ]
  ,""risks_or_caveats"": [
    ""none""
  ]
}",True,,"{
  ""intent"": ""inform"",
  ""response"": ""We acknowledge the timeline deviation and sincerely apologize for the inconvenience caused.""
  ,""tone"": ""calm""
  ,""key_points"": [
    ""Timeline deviation"",
    ""Apologies for inconvenience""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}"
gemma:2b,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""status"": ""success"",
  ""message"": ""No blocking bugs found, design finalized, and release still on track for Friday.""
}
```",53.55681079903054,0.48772639999515377,1.2665905999965617,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""QA"",
  ""response"": ""No blocking bugs found"",
  ""tone"": ""Design"",
  ""key_points"": [
    ""Final mockup approved""
  ],
  ""constraints_followed"": [
    ""Release is still planned for Friday""
  ]
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""QA found no blocking bugs"",
  ""response"": ""Design approved the final mockup, and release is still planned for Friday""
  ,""tone"": ""Friday""
  ,""key_points"": []
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""QA found no blocking bugs"",
  ""response"": ""Design approved the final mockup"",
  ""tone"": ""release is still planned for Friday""
  ,""key_points"": []
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}"
gemma:2b,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""type"": ""neutral"",
  ""message"": ""The deployment finally worked after two retries.""
}",51.32342383297937,0.42772799999511335,0.9668916999944486,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""positive"",
  ""response"": ""The deployment finally worked after two retries.""
  ,""tone"": ""neutral""
  ,""key_points"": [
    ""deployment"",
    ""retries""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""positive"",
  ""response"": ""The deployment finally worked after two retries.""
  ,
  ""tone"": ""neutral""
  ,""key_points"": [
    ""deployment"",
    ""retries""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""positive"",
  ""response"": ""The deployment finally worked after two retries.""
  ,""tone"": ""neutral""
  ,""key_points"": [
    ""deployment"",
    ""retries""
  ]
  ,""constraints_followed"": [
    ""two""
  ]
  ,""risks_or_caveats"": []
}"
gemma:2b,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"Sure, here is the JSON explanation you requested:

```json
{
  ""type"": ""object"",
  ""properties"": {
    ""type"": ""string"",
    ""title"": ""Return only valid JSON matching the schema"",
    ""description"": ""This field specifies the type of JSON object that is being returned. In this case, it is a JSON object.""
  }
}
```

This JSON explains the following:

* **type**: The type of the JSON object is ""object"".
* **properties**: This object defines the properties of the JSON object.
* **title",57.97215135604788,0.4518963000009535,2.822048399997584,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""explain"",
  ""response"": ""Sure, here's a plain English explanation of the technical explanation you provided:\n\nCaching stores frequently used data so the app does not have to fetch it from scratch each time. This can significantly improve the app's performance, as it reduces the number of network requests and server calls.\n\nHere's a breakdown of the key terms:\n\n* **Caching:** A technique that stores data locally on the device or server for faster access. This can be used to improve the performance of web and mobile apps. \n\n* **Data:** The information that the app wants to store and access frequently. \n\n* **API:** The application programming interface, which allows apps to communicate with web services. \n\n* **Network request:** A request sent to a server to retrieve data. \n\n* **Server:** The computer that hosts the website or app that the app wants to access. \n\nBy using caching, the app can avoid making these network requests and instead use the stored data. This can significantly improve the app's performance.\n\nI hope this explanation is helpful! Let me know if you have any other questions.""
  ,
  ""tone"": ""friendly""
  ,
  ""key_points"": [
    ""Caching is a technique that stores data locally for faster access."",
    ""It can significantly improve the app's performance by reducing the number of network requests."",
    ""It uses data that is frequently accessed by the app."",
    ""It avoids making network requests and uses stored data instead.""
  ]
  ,
  ""constraints_followed"": [
    ""schema.json""
  ]
  ,
  ""risks_or_caveats"": [
    ""schema.json""
  ]
}",True,,"{
  ""intent"": ""Return only valid JSON matching the schema."",
  ""response"": ""application/json"",
  ""tone"": ""Return only valid JSON matching the schema."",
  ""key_points"": [
    ""Caching stores frequently used data so the app does not fetch it from scratch each time."",
    ""This is achieved by using a data structure called 'cache'."",
    ""The cache stores the data in a way that makes it easy for the app to access."",
    ""The cache can be used to store data for a long period of time, or until it is updated."",
    ""The app checks the cache before making a request to the server to see if the data is already available.""
  ]
  ,""constraints_followed"": [
    ""schema.json""
  ]
  ,""risks_or_caveats"": [
    ""If the cache is not configured properly, the app may not be able to access the data it needs."",
    ""This can lead to a performance issue, as the app will have to make additional requests to the server.""
  ]
}",True,,"{
  ""intent"": ""cache"",
  ""response"": ""valid_json_matching_schema"",
  ""tone"": ""chat-generation""
  ,
  ""key_points"": [
    ""Caches frequently used data so the app does not fetch it from scratch each time.""
  ]
  ,
  ""constraints_followed"": [
    ""schema_json""
  ]
  ,
  ""risks_or_caveats"": [
    ""sensitive_data_disclosure""
  ]
}"
gemma:2b,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""statusCode"": 202,
  ""data"": null,
  ""message"": ""Report is not ready yet.""
}",53.22875978925282,0.5321035000015399,1.194464300002437,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""status"",
  ""response"": ""Report is not ready yet. It is expected to be available in [estimated time frame]. Please check back later.""
  ,""tone"": ""Friendly""
  ,""key_points"": [
    ""Report is not ready"",
    ""Estimated time frame: [estimated time frame]""
  ]
  ,""constraints_followed"": [
    ""not_ready""
  ]
  ,""risks_or_caveats"": [
    ""report_not_ready""
  ]
}",True,,"{
  ""intent"": ""get_report_status"",
  ""response"": ""The latest report is not yet available. It is expected to be ready by [estimated_release_date].""
  ,""tone"": ""friendly"",
  ""key_points"": [
    ""Report is not ready yet"",
    ""It will be released soon""
  ]
  ,""constraints_followed"": [
    ""status: 'not_ready'""
  ]
  ,""risks_or_caveats"": [
    ""The report may be delayed due to unforeseen circumstances.""
  ]
}",True,,"{
  ""intent"": ""get_status"",
  ""response"": ""Still working on the latest report. It's not ready yet, but I'll let you know as soon as it's available.""
  ,""tone"": ""Friendly and honest""
  ,""key_points"": [""report"", ""status""]
  ,""constraints_followed"": [""valid_json""]
  ,""risks_or_caveats"": [""report_is_not_ready""]
}"
gemma:2b,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""actionItems"": [
    {
      ""actionType"": ""Update docs"",
      ""description"": ""Update the documentation""
    },
    {
      ""actionType"": ""Run regression tests"",
      ""description"": ""Run regression tests""
    },
    {
      ""actionType"": ""Send summary to Priya"",
      ""description"": ""Send the summary report to Priya""
    }
  ]
}
```",56.94161394868311,0.4550995999961742,2.3952573999995366,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""update_docs_regression_test_summary"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya.""
  ,
  ""tone"": ""informative""
  ,
  ""key_points"": [
    ""update the docs"",
    ""run the regression tests"",
    ""send the summary to Priya""
  ]
  ,
  ""constraints_followed"": []
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""update_docs_and_run_regression_tests"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya.""
  ,
  ""tone"": ""formal""
  ,
  ""key_points"": [
    ""update the docs"",
    ""run regression tests"",
    ""send summary""
  ]
  ,
  ""constraints_followed"": [
    ""valid_action_items""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""update_docs_regression_test_summary"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya"",
  ""tone"": ""polite""
  ,""key_points"": [
    ""update the docs"",
    ""run the regression tests"",
    ""send the summary to Priya""
  ]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}"
gemma:2b,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""message"": ""Apologies for the late response. I am currently focusing on resolving a recent issue."",
  ""code"": 200
}
```",54.28903755037005,0.42279340000095544,1.2144640000042273,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""post_reply"",
  ""response"": ""I am truly sorry for the late reply. Please let me know if there is anything I can do to assist you further.""
  ,""tone"": ""casual""
  ,""key_points"": [
    ""I understand that you may be frustrated"",
    ""I value your business and will do my best to improve my response time in the future""
  ]
  ,""constraints_followed"": [
    ""Return only valid JSON matching the schema""
  ]
  ,""risks_or_caveats"": [
    ""I may not have fully understood the customer's question, leading to a delayed response.""
  ]
}",True,,"{
  ""intent"": ""reply"",
  ""response"": ""Apologies for the late response. Please let me know if there's anything I can assist you with."",
  ""tone"": ""casual""
  ,""key_points"": [
    ""Thank you for your patience.""
  ]
  ,""constraints_followed"": [
    ""No""
  ]
  ,""risks_or_caveats"": [
    ""No""
  ]
}",True,,"{
  ""intent"": ""send_acknowledgment_message"",
  ""response"": ""Thank you for your patience. We are working on getting back to you as soon as possible.""
  ,""tone"": ""casual""
  ,""key_points"": [
    ""Apologies for the delay in response.""
  ]
  ,""constraints_followed"": [
    ""chat_generation""
  ]
  ,""risks_or_caveats"": [
    ""May have missed your original question.""
  ]
}"
gemma:2b,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""type"": ""support""}
```",47.504985384299495,0.4436063999964972,0.6426576000012574,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""request_help"",
  ""response"": ""This is a support request. Please contact our support team at [support_email@example.com].""
  ,""tone"": ""Informative""
  ,""key_points"": [
    ""My invoice amount looks wrong.""
  ]
  ,""constraints_followed"": [
    ""schema.type == 'string'""
  ]
  ,""risks_or_caveats"": [
    ""This request could be a phishing attempt.""
  ]
}",True,,"{
  ""intent"": ""request_validation"",
  ""response"": ""invalid_amount_request""
  ,""tone"": ""negative""
  ,""key_points"": [
    ""invoice_amount_is_wrong""
  ]
  ,""constraints_followed"": [
    ""invoice_amount_is_not_valid""
  ]
  ,""risks_or_caveats"": [
    ""invalid_invoice_amount""
  ]
}",True,,"{
  ""intent"": ""request"",
  ""response"": ""Invalid Invoice Amount"",
  ""tone"": ""error""
  ,""key_points"": [
    ""invoice_amount_error""
  ]
  ,""constraints_followed"": [
    ""invoice_amount_is_incorrect""
  ]
  ,""risks_or_caveats"": [
    ""invalid_invoice_amount""
  ]
}"
gemma:2b,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""type"": ""message"",
  ""content"": ""Send the file today. We'd appreciate it if you could send it to [recipient email address].""
}
```",53.71154070577941,0.5203446999948937,1.395087999997486,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""send_file"",
  ""response"": ""Sure, I can help you with that. Please send the file to me today and I will process it promptly."",
  ""tone"": ""friendly""
  ,""key_points"": [
    ""Please ensure that the file is in a supported format and that you have the necessary permissions to access and transfer it.""
  ]
  ,""constraints_followed"": [
    ""Only send files that are valid JSON objects.""
  ]
  ,""risks_or_caveats"": [
    ""We cannot accept files that are malicious, corrupted, or otherwise unsafe.""
  ]
}",True,,"{
  ""intent"": ""send_file"",
  ""response"": ""Sending the file today. Please let me know if you have any questions.""
  ,""tone"": ""friendly""
  ,""key_points"": [
    ""Please ensure the file is attached to the message.""
  ]
  ,""constraints_followed"": [
    ""Only send valid JSON files that match the schema.""
  ]
  ,""risks_or_caveats"": [
    ""This message may be delayed if the file is not sent.""
  ]
}",True,,"{
  ""intent"": ""send_file"",
  ""response"": ""Sure, I can send you the file today. Could you please let me know if you have any questions?""
  ,
  ""tone"": ""friendly"",
  ""key_points"": [
    ""Sure, I can help you with that"",
    ""I am available to assist you with your request""
  ]
  ,
  ""constraints_followed"": [
    ""only_json""
  ]
  ,
  ""risks_or_caveats"": [
    ""none""
  ]
}"
gemma:2b,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"Sure, here is the JSON response explaining why backups matter before a software upgrade:

```json
{
  ""type"": ""object"",
  ""properties"": {
    ""backup_frequency"": {
      ""type"": ""string"",
      ""required"": true
    },
    ""backup_destination"": {
      ""type"": ""string"",
      ""required"": true
    },
    ""backup_type"": {
      ""type"": ""string"",
      ""enum"": [""full"", ""incremental""]
    }
  },
  ""required"": [""backup_frequency",58.70036385512255,0.46474060000036843,2.807116000003589,2398.71484375,1.0,,Chat:ollama:gemma-2b:gemma:2b,gemma-2b,gemma:2b,ollama,,large,2.5B,77.2,False,True,,"{
  ""intent"": ""explain_backup_importance"",
  ""response"": ""Sure, here's why backups matter before a software upgrade: 💻 🛡️ 🧠 💻\n""
  ,
  ""tone"": ""Informative"",
  ""key_points"": [
    ""Protecting data ensures everything is safe and recoverable after a software upgrade.""
  ]
  ,
  ""constraints_followed"": [
    ""valid_json""
  ]
  ,
  ""risks_or_caveats"": [
    ""Losing data can be a major headache, especially for small businesses with sensitive information.""
  ]
}",True,,"{
  ""intent"": ""backup_before_upgrade"",
  ""response"": ""Backups are crucial before a software upgrade as they protect your data from loss due to system errors, corrupted files, or accidental deletion. A thorough backup allows you to restore your data quickly and minimize downtime during the upgrade process.""
  ,""tone"": ""Informative""
  ,""key_points"": [
    ""Protect data from loss."",
    ""Reduce downtime during upgrade."",
    ""Restore data quickly after an upgrade.""
  ]
  ,""constraints_followed"": [
    ""schema.json""
  ]
  ,""risks_or_caveats"": [
    ""Data loss during upgrade."",
    ""Timely upgrade process."",
    ""Financial losses due to downtime.""
  ]
}",True,,"{
  ""intent"": ""backup"",
  ""response"": ""Backup matters before a software upgrade because a backup allows you to restore your data and software to its previous state in the event of software corruption or accidental deletion. This is crucial for minimizing downtime and preserving business continuity.""
  ,
  ""tone"": ""informative""
  ,
  ""key_points"": [
    ""Protect critical data and software"",
    ""Preserve business continuity"",
    ""Reduce downtime"",
    ""Help recover from accidental deletion or corruption""
  ]
  ,
  ""constraints_followed"": [
    ""key_points[0]""
  ]
  ,
  ""risks_or_caveats"": [
    ""Data loss"",
    ""Software failure""
  ]
}"
