model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
qwen2:1.5b-instruct,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""template"": {
    ""sentences"": [
      {
        ""paragraphs"": [
          ""We regret to inform you that there was a mistake in our timeline, resulting in delays. Please find attached an updated schedule for your reference."",
          ""We apologize for any inconvenience caused and assure you of prompt resolution of the matter.""
        ],
        ""types"": [
          ""InternalEmail""
        ]
      }
    ],
    ""valid_json"": true
  }
}",98.06946715319906,0.2938542999982019,1.4586083999965922,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""apologies"",
  ""response"": ""we messed up the timeline, sorry.""
  , ""tone"": ""apologetic""
  , ""key_points"": [
    ""messed up"",
    ""timeline"",
    ""sorry""
  ]
  , ""constraints_followed"": [
    ""short_and_calm""
  ]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""inform"",
  ""response"": ""We have made a mistake in our timeline management. Apologies for the inconvenience caused.""
  , ""tone"": ""apologetic""
  , ""key_points"": []
  , ""constraints_followed"": [
    ""brief_and_concise"",
    ""professional_tone""
  ]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": """",
  ""response"": ""We made a mistake in tracking our timeline. Sorry for the inconvenience caused."",
  ""tone"": ""apologetic""
  ,""key_points"": [
    ""timeline_messed_up"",
    ""sorry_informal""
  ]
  , ""constraints_followed"": []
  , ""risks_or_caveats"": [
    ""None detected""
  ]
}"
qwen2:1.5b-instruct,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""schema"": {
    ""$schema"": ""http://json-schema.org/draft-07/schema#"",
    ""type"": ""object"",
    ""properties"": {
      ""success"": {
        ""description"": ""Indicates whether the update was successful"",
        ""enum"": [true, false],
        ""default"": true
      },
      ""message"": {
        ""description"": ""An optional message to include in case of an error."",
        ""default"": """"
      }
    },
    ""required"": [
      ""success""
    ]
  },
  ""value"": {
    ""success"": true,
    ""message",91.27254101969825,0.3327140999972471,1.968554099999892,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""QA"",
  ""response"": ""No blocking bugs found. Design approved final mockup, release scheduled for Friday.""
  , ""tone"": ""positive""
  , ""key_points"": [
    ""no blocking bugs"",
    ""design approval"",
    ""release planned for Friday""
  ]
  , ""constraints_followed"": [
    ""QA found no blocking bugs"",
    ""Design approved final mockup"",
    ""Release still planned for Friday""
  ]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""None"",
  ""response"": ""The QA team found no blocking bugs during their review, design has approved a final mockup, and the release is still on schedule for Friday.""
  , ""tone"": ""Neutral""
  , ""key_points"": [
    ""No blocking bugs found"",
    ""Design approval of final mockup"",
    ""Release date unchanged for Friday""
  ]
  , ""constraints_followed"": [""QA team review"", ""Design approval by design team""]
  , ""risks_or_caveats"": [""Expected to be no blocking bugs""]
}",True,,"{
  ""intent"": """",
  ""response"": """",
  ""tone"": """"
  , ""key_points"": [
    ""No blocking bugs found"",
    ""Mockup design approved""
  ]
  , ""constraints_followed"": [
    """"
  ]
  , ""risks_or_caveats"": []
  }"
qwen2:1.5b-instruct,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""label"": ""neutral"", ""text"": ""The deployment finally worked after two retries.""}",65.27346972877568,0.3383587999996962,0.6822706999992079,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{""intent"": ""neutral"", ""response"": ""Positive because it indicates success after multiple attempts."" , ""tone"": ""positive"", ""key_points"": [""success"", ""multiple attempts""], ""constraints_followed"": [], ""risks_or_caveats"": []}",True,,"{""intent"": ""neutral"", ""response"": ""The message has a neutral sentiment as it describes a successful outcome after multiple attempts."" , ""tone"": ""objective"", ""key_points"": [""valid_json_schema""] , ""constraints_followed"": [], ""risks_or_caveats"": []}",True,,"{""intent"":""action"",""response"":""Positive"", ""tone"": ""neutral"", ""key_points"":[""deployment"", ""working"", ""retries""], ""constraints_followed"":[], ""risks_or_caveats"":[]}

 "
qwen2:1.5b-instruct,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{
  ""app"": {
    ""description"": ""A service or program that stores frequently accessed information so it doesn't have to fetch it again."",
    ""keyPoints"": [
      ""Caching is like having a quick trip to the grocery store instead of walking all around looking for everything you need."",
      ""When your favorite items are stored in the cache, they're kept there and ready to be used quickly.""
    ]
  }
}",89.17431716252871,0.35064910000073723,1.5236318999996001,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""explain"",
  ""response"": ""Caching is a technique used by software applications to store frequently accessed data in memory so that it can be quickly retrieved when needed, rather than having to fetch it from disk each time.""
  , ""tone"": ""neutral""
  , ""key_points"": [
    ""Frequently used data"",
    ""Store in memory"",
    ""Quick retrieval"",
    ""Fetch from disk""
  ]
  , ""constraints_followed"": [
    ""No markdown or text outside JSON""
  ]
  , ""risks_or_caveats"": [
    ""Lack of regular updates can lead to outdated data""
  ]
}",True,,"{
  ""intent"": ""explain"",
  ""response"": ""Caching is a technology used in software applications to store data that has been frequently accessed so it does not have to be fetched again when needed. This helps improve performance by reducing the number of requests made to the server, making it faster and more responsive.""
  , ""tone"": ""neutral""
  ,""key_points"":[
    ""Caching stores frequently used data"",
    ""This reduces the time it takes for an application to fetch new data from the server."",
    ""It allows the application to work more efficiently by reducing the number of requests made to the server.""
  ]
  , ""constraints_followed"":[
    ""No markdown or text outside JSON""
  ]
  , ""risks_or_caveats"":[
    ""The cost of maintaining and updating cache data can be high if it is frequently updated or changed.""
  ]
}",True,,"{
  ""intent"": ""app"",
  ""response"": ""Caching is a technique used by applications to store frequently accessed data so that they do not need to retrieve it again from scratch every time it is required. This way, the application can save on processing power and improve performance by reducing the amount of work required for each request.""
  ,
  ""tone"": ""neutral"",
  ""key_points"": [
    ""Caching reduces load on the app"",
    ""It stores frequently used data""
  ],
  ""constraints_followed"": [
    ""return only valid JSON"",
    ""do not include markdown or any text outside JSON""
  ]
  ,
  ""risks_or_caveats"": [
  ]
}"
qwen2:1.5b-instruct,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""status"": ""error"",
  ""message"": ""The latest report is still in progress, it will be available shortly.""
}
```

Return only valid JSON matching the provided schema. Do not include any non-JSON content outside this response body.",84.59038165065441,0.3296245000019553,1.0997625999989395,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""inform"",
  ""response"": ""Hello, thank you for your interest in our latest report. Unfortunately, it is still under development and has not yet been finalized. I apologize for any inconvenience this may cause and will update you as soon as the report is available.""
  , ""tone"": ""polite""
  , ""key_points"": [
    ""inform"",
    ""under development"",
    ""apology"",
    ""update""
  ]
  , ""constraints_followed"": [""friendly"", ""honest""]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""acknowledge"",
  ""response"": ""Thank you for your interest in the latest report. Unfortunately, it is still pending. I will keep you updated as soon as possible.""
  , ""tone"": ""polite""
  , ""key_points"": [
    ""Acknowledged request"",
    ""Gave honest information about availability of report""
  ]
  , ""constraints_followed"": [""strict"", ""high""]
  , ""risks_or_caveats"": [""delayed response"" , ""unsatisfactory communication""]
}",True,,"{
  ""intent"": ""Update"",
  ""response"": ""Thank you for your interest in our latest report. We are currently working on the final draft, but it is not ready yet. Please keep an eye out for updates as soon as it becomes available.""
  , ""tone"": ""polite""
  , ""key_points"": [""update"", ""request"", ""understand""]
  , ""constraints_followed"": [""code_snippet""],
  ""risks_or_caveats"": []
}"
qwen2:1.5b-instruct,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""id"": ""update-docs"",
  ""description"": ""Update the documents."",
  ""dueDate"": null,
  ""completed"": false
}
```

```json
{
  ""id"": ""run-regression-tests"",
  ""description"": ""Run regression tests."",
  ""dueDate"": null,
  ""completed"": false
}
```

```json
{
  ""id"": ""send-summary-to-Priya"",
  ""description"": ""Send the summary to Priya."",
  ""dueDate"": null,
  ""completed"": false
}
```",89.72486426518932,0.39670619999742485,1.9457715999997163,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""update"",
  ""response"": ""run"",
  ""tone"": ""positive""
  , ""key_points"": [
    ""docs"",
    ""regression tests"",
    ""summary""
  ]
  , ""constraints_followed"": [
    ""priya""
  ]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""Task Assignment"",
  ""response"": ""- Update docs\n- Run regression tests\n- Send summary to Priya""
  , ""tone"": ""positive""
  , ""key_points"": [
    ""Update docs"",
    ""Run regression tests"",
    ""Send summary to Priya""
  ]
  , ""constraints_followed"": []
  , ""risks_or_caveats"": []
  }",True,,"{
  ""intent"": ""update docs"",
  ""response"": ""Update documentation""
,
""tone"": ""neutral"",
""key_points"": [
  ""run regression tests""
]
,
""constraints_followed"": [""no"", ""no""],
""risks_or_caveats"": [""none""]
}"
qwen2:1.5b-instruct,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{
  ""message"": ""I apologize for the delay in responding to your query. Thank you for your patience."",
  ""statusCode"": 200,
  ""statusMessage"": ""Received""
}",80.02065294947553,0.33145389999845065,0.9266938000000664,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""apology"",
  ""response"": ""I apologize for the delay in my response. I've been busy with other tasks, but I'm here to assist you now."",
  ""tone"": ""professional""
  , ""key_points"": [
    ""Apologies"",
    ""Busy with other tasks"",
    ""Assistance available now""
  ]
  , ""constraints_followed"": [""return only valid JSON matching the schema""]
  , ""risks_or_caveats"": [""customer may feel ignored or unimportant""]
}",True,,"{""intent"": ""apology"", ""response"": ""I'm truly sorry for the delay in my reply. Thank you for your patience, and please let me know if there's anything else I can assist with."" , ""tone"": ""professional"", ""key_points"": [""sincere apology"", ""patience"", ""assistance available""], ""constraints_followed"": [""schema compliance""] , ""risks_or_caveats"": [""avoiding further delays"", ""building trust and respect""]}",True,,"{
""intent"": ""apology"",
""response"": ""I'm very sorry for my late response, please let me know how I can assist you further.""
    , ""tone"": ""moderate""
   , ""key_points"": [
        ""Sincere apology"",
        ""Acknowledgment of delay"",
        ""Offering assistance or re-explaining earlier message""
      ]
  , ""constraints_followed"": [
        ""Compliance with the customer's preferences and needs.""
    ],
""risks_or_caveats"": [
    ""Lack of tone control, might come across as indifferent.""
]
}"
qwen2:1.5b-instruct,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""Request Type"": ""Support"",
  ""Description"": ""The customer is reporting an issue with their invoice amount.""
}",71.82459476297618,0.35169150000001537,0.7805216999986442,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""sales"",
  ""response"": ""I'm sorry, but I can't assist with that.""
  , ""tone"": ""neutral""
  , ""key_points"": [
    ""invoice amount issue""
  ]
  , ""constraints_followed"": [
    ""no markdown or text outside JSON""
  ]
  , ""risks_or_caveats"": [
    ""no risk""
  ]
}",True,,"{
  ""intent"": ""sales"",
  ""response"": ""Thank you for contacting our sales team. Please provide more details about your invoice to help us investigate this issue.""
  , ""tone"": ""friendly""
  , ""key_points"": [""invoice"", ""amount"", ""wrong""]
  , ""constraints_followed"": [""sales_team""]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""billing"",
  ""response"": ""The issue with your invoice amount is likely related to its calculation.""
  , ""tone"": ""neutral""
  ,""key_points"": [""invoice"", ""amount"", ""wrong""]
  , ""constraints_followed"":[
    ""Sales team not available for inquiry."",
    ""Customer support can resolve this issue by verifying invoice calculation."",
    ""Billing team would investigate further for discrepancies.""]
  , ""risks_or_caveats"": []
  }"
qwen2:1.5b-instruct,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""file"": {""send"": ""today""}}",53.68551028077522,0.33027669999864884,0.5352890999965894,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""request_file"",
  ""response"": ""I will send you the file by today.""
  , ""tone"": ""warm""
  , ""key_points"": [
    ""Request for a file to be sent by today."",
    ""Use of positive language and tone.""
  ]
  , ""constraints_followed"": [
    ""No markdown or text outside JSON format is included.""
  ]
  , ""risks_or_caveats"": [
    ""The request may not be fulfilled if the file cannot be sent by today.""
  ]
}",True,,"{
  ""intent"": ""request"",
  ""response"": ""Please send the file to me by tomorrow.""
  , ""tone"": ""warm""
  , ""key_points"": [
    ""request_file"",
    ""timeliness"",
    ""tomorrow""
  ]
  , ""constraints_followed"": [ ""jsonschema"" ]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""File"",
  ""response"": ""I have received your request for a file. It is important to note that the file must be sent today in order to meet all deadlines. Please confirm whether you are sending the appropriate file and if so, please upload it before closing this conversation."",
  ""tone"": ""Professional""
  , ""key_points"": []
  , ""constraints_followed"": [
    ""return_only_valid_json"",
    ""do_not_include_markdown_or_text_outside_json""
  ]
  , ""risks_or_caveats"": [""It is important to ensure the file meets all requirements for proper formatting and content""]
}"
qwen2:1.5b-instruct,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{
  ""title"": ""Backup Matters Before Software Upgrade in Small Business"",
  ""body"": ""In any digital era, ensuring backups are crucial for safeguarding data during software upgrades. A backup is like a backup plan; it allows you to retrieve data from your system after an upgrade without the need to recreate or revert to previous versions. This action not only helps manage risk but also protects against potential loss due to changes in software configurations that could affect operations negatively.""
}",87.72794953371209,0.36130459999913,1.6322256999992533,1494.71484375,1.0,,Chat:ollama:Qwen2-1.5B-Instruct:qwen2:1.5b-instruct,Qwen2-1.5B-Instruct,qwen2:1.5b-instruct,ollama,,medium,1.5B,125.4,False,True,,"{
  ""intent"": ""Backup"",
  ""response"": ""Backing up data before an upgrade ensures that your business can continue running smoothly in case of system failure, maintaining productivity and minimizing downtime.""
  , ""tone"": ""positive""
  , ""key_points"": [
    ""Preparation is key for any software upgrade"",
    ""Backups help protect against data loss during the upgrade process""
  ]
  , ""constraints_followed"": [
    ""No specific constraints mentioned in the schema provided.""
  ]
  , ""risks_or_caveats"": [
    ""Lack of proper backup can lead to data loss if not done correctly, potentially causing significant financial and reputational damage""
  ]
}",True,,"{
  ""intent"": ""Backup is crucial before upgrading software in small businesses to prevent data loss. This ensures that all essential information from backup locations remains intact, ensuring business continuity and minimizing the impact of potential downtime during the upgrade process."" ,

  ""response"": ""Backups are vital for small businesses when upgrading software to minimize potential data loss. They ensure that critical information is safeguarded, allowing smooth operations and preventing sudden interruptions or system failures during the upgrade."" ,

  ""tone"": ""neutral"" ,

  ""key_points"": [ ""Backup"", ""software upgrade"", ""data protection"" ] ,

  ""constraints_followed"": [ ""no_constraints"" ]
  , ""risks_or_caveats"": []
}",True,,"{
  ""intent"": """",
  ""response"": ""{\""response\"":{\""status\"":400,\""reason\"":\""Invalid input\"",\""details\"":null,\""id\"":-1,\""version\"":2023}}"",
  ""tone"": """",
  ""key_points"": [
    ""Backups are crucial before software upgrades in small businesses to ensure data security and prevent data loss.""
  ],
  ""constraints_followed"": [
    ""Schema""
  ]
, ""risks_or_caveats"":[
    ""Data loss if backups fail or are incomplete, leading to downtime and business interruption.""
  ]
}"
