model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
llama3.2:3b,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""message"": ""Apologies for the schedule adjustment"",}",51.31978701498853,0.38187589999870397,0.6555076000076951,2695.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""apology"", ""response"": ""We experienced a scheduling discrepancy. We are taking immediate action to rectify the situation."",""tone"": ""calm"", ""key_points"": [""scheduling issue"",""rectification underway""],""constraints_followed"": [],""risks_or_caveats"": [""No further impact expected on project timeline.""] }",True,,"{""intent"": ""apology"", ""response"": ""Regrettable timeline discrepancy occurred."", ""tone"": ""neutral"", ""key_points"": [""Timeline error"",""Apology""] ,""constraints_followed"":[] , ""risks_or_caveats"":[] }",True,,"{""intent"": ""apology"", ""response"": ""Regrettable delays have occurred."", ""tone"": ""calm"", ""key_points"": [""Timeline deviation"", ""Project impact""] ,""constraints_followed"": [""valid date""], ""risks_or_caveats"": []}"
llama3.2:3b,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""json"": {""result"": ""The update summary is as follows: QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday."", ""validity"": true}}",50.14154241114919,0.3672244000044884,1.2771238000132143,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""update"", ""response"": ""The QA team has completed their testing and found no blocking bugs, and the design has been approved for the final mockup. The release is still scheduled to take place on Friday."",""tone"": ""informative"", ""key_points"": [""QA found no blocking bugs"", ""design approved final mockup"", ""release planned for Friday""],""constraints_followed"": [""Chat & Generation JSON schema"", ""Return only valid JSON matching the schema"", ""Do not include markdown or any text outside JSON""],""risks_or_caveats"": []}",True,,"{""intent"":""update"",""response"":""The QA found no blocking bugs, the design was approved for the final mockup, and the release is still planned for Friday."",""tone"":""informative"",""key_points"":[""QA"",""design approval"",""release date""],""constraints_followed"":[""return valid JSON"", ""do not include markdown or text outside of JSON""],""risks_or_caveats"":[]}",True,,"{""intent"": ""update"", ""response"": ""{\""status\"": \""successful\"", \""message\"": \""QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.\""}"" , ""tone"": ""positive"", ""key_points"": [""no blocking bugs"", ""final mockup approved"", ""release on Friday""] , ""constraints_followed"": [] , ""risks_or_caveats"": [] }"
llama3.2:3b,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""status"":""negative"",""sentiment"":""neutral to slightly positive""}",48.47972768244394,0.37492159999965224,0.6875176000030478,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""neutral"", ""response"": ""The message is neutral because it describes a successful outcome without expressing emotion or enthusiasm."" , ""tone"": ""neutral"", ""key_points"": [""deployment"", ""retries""], ""constraints_followed"": [] , ""risks_or_caveats"": []}",True,,"{""intent"": ""evaluation"", ""response"": ""positive"", ""tone"": ""neutral"", ""key_points"": [""deployment"", ""worked"", ""retries""], ""constraints_followed"": [""no negative words"", ""no overly positive language""] , ""risks_or_caveats"": [""retry failure""] }",True,,"{
    ""intent"": ""neutral"",
    ""response"": ""The deployment finally worked after two retries.""
  ,""tone"": ""neutral"" , ""key_points"": [
        ""deployment""
        ]
      ,""constraints_followed"": [
        ""neutrality""
        ]
   ,""risks_or_caveats"": [
        ""potential errors in the future""
        ]
 }"
llama3.2:3b,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""$schema"":""https://json-schema.org/draft-07/schema#"",""title"":""Caching Explained"",""type"":""object"",""properties"":{}}",50.60923235758206,0.36782359999779146,1.054615900007775,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""EXPLAIN"", ""response"": ""Imagine you're at a store with lots of products. If someone wants to buy something, they don't have to look through every single product to find what they want. They can just go straight to the shelf where their favorite item is. That's kind of like what caching does for apps. It stores frequently used data so the app doesn't have to get it from scratch each time. This makes things faster and more efficient."",""tone"": ""None"", ""key_points"": [""Caching stores frequently used data"", ""Makes things faster and more efficient""], ""constraints_followed"": [""None""] , ""risks_or_caveats"": [""If the cached data is outdated, it can cause problems.""]}",True,,"{""intent"": ""explain"", ""response"": ""When you use an app, it might have to show you something that's already been shown to you before, like a picture of a cat. Instead of getting that picture from the internet again, the app can save it in its own memory so it doesn't have to ask for it every time you want to see it. This is called caching."",""tone"": ""friendly"", ""key_points"": [""saves data for quick access"", ""reduces need to fetch data from the internet""], ""constraints_followed"": [""do not include markdown or any text outside JSON"", ""return only valid JSON matching the schema""] ,""risks_or_caveats"": [""may lead to outdated information if not updated regularly""]}",True,,"{""intent"": ""explain"", ""response"": ""Imagine you're at a store with lots of products on shelves. Each time you want to buy something, instead of having to walk all the way around the store to find it, you can just grab what you need from where it's already displayed in front of you. It's faster and easier. \n\n Apps work similarly. When an app wants to show you information like a picture or a piece of text, it might have to ask its friends (like other apps on the same device) to get that info from somewhere else, like a website or another device's computer. This can take some time and use up your device's energy. \n\n Caching helps with this by storing frequently used data so the app doesn't have to ask for it every single time. It's like having a virtual store in the app that already has what you need, so when you want it again, you can just grab it from there instead of having to ask for it. This makes things run faster and use less energy."",""tone"": ""neutral"", ""key_points"": [""app caching"",""frequently used data"",""storage"",""virtual store""] ,""constraints_followed"": [ ""valid JSON"" ] , ""risks_or_caveats"": [] }"
llama3.2:3b,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""returnValidJsonOnly"": true,
  ""message"": ""I'm sorry, but I haven't had a chance to finalize the latest report yet. Would you like me to keep you updated on its status?"",
  ""success"": false
}",49.71735216263915,0.35728999999992084,1.5158365999959642,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{
  ""intent"": ""report_not_ready"",
  ""response"": ""Hi, I appreciate your request for the latest report. Unfortunately, it's not ready yet as we're still in the process of finalizing the data. I'll make sure to get it to you as soon as possible."",
  ""tone"": ""friendly""
  , ""key_points"": [
    ""report_not_ready"",
    ""finalizing_data""
  ]
  , ""constraints_followed"": [
    ""return only valid JSON matching the schema""
  ]
  , ""risks_or_caveats"": [
    ""may not be up-to-date""
  ]
}",True,,"{""intent"": ""reply"", ""response"": ""Hi \u00b6nny, thanks for reaching out! I'm happy to provide you with the latest report once it's ready. The team is still working on the final touches, but we'll get it to you as soon as possible. Will keep you updated on our progress."" , ""tone"": ""friendly"", ""key_points"": [""report_ready"", ""keep_updated""], ""constraints_followed"": [] , ""risks_or_caveats"": [""possible delays""] }",True,,"{
    ""intent"": ""A polite reply to a colleague who asked for the latest report."",
    ""response"": ""Thank you for your request! Unfortunately, the report is not yet ready as our team is still working on it. I will make sure to send it out to you as soon as it's completed."",
    ""tone"": ""friendly and honest""
  , ""key_points"": [
        ""apologize for the delay"",
        ""provide an estimate of when the report will be ready"",
        ""offer a solution or alternative"",
        ""show appreciation for their request"" ]
  , ""constraints_followed"": [
            ""be honest about the situation."",
            ""avoid making promises you can't keep."",
            ""take responsibility for delays."" ] ,
    ""risks_or_caveats"": [
        ""Avoid leading them on by providing a fake update."",
        ""Don't make it seem like you're doing anything wrong. "",
        ""Make sure to follow up with an updated time frame.""]
}"
llama3.2:3b,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""jsonSchemaVersion"": ""2.0"", ""title"": """", ""type"": ""object"", ""properties"": {""items"": {""type"": ""array"", ""minItems"": ""1"", ""maxItems"": ""1""}}}

{
  ""$schema"": ""http://json.schemastore.org/chatgeneration"",
  ""type"": ""object"",
  ""properties"": {
    ""actions"": {
      ""type"": ""array"",
      ""items"": {""$ref"": ""#/definitions/action""},
      ""title"": """"
    },
    ""definition"": {
      ""type"": ""string""
    }
  },
  ""required"":",48.447628227435274,0.4090504000050714,3.26168160000816,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""action_items"", ""response"": ""{\""items\"": [{\""task\"": \""Update the docs\"", \""description\"": \""Update documentation files with new information.\"", \""priority\"": 1}, {\""task\"": \""Run regression tests\"", \""description\"": \""Execute regression tests to ensure functionality and accuracy.\"", \""priority\"": 2}, {\""task\"": \""Send summary to Priya\"", \""description\"": \""Prepare a concise summary of the updates and send it to Priya for review.\"", \""priority\"": 3}]}"", ""tone"": """" , ""key_points"": [] , ""constraints_followed"": [] , ""risks_or_caveats"": [] }",True,,"{""intent"": ""action"", ""response"": ""{\""actions\"": [\r\n  {\r\n  \""name\"": \""update docs\"",\r\n  \""params\"": {}\r\n  },\r\n  {\r\n  \""name\"": \""run regression tests\"",\r\n  \""params\"": {}\r\n  },\r\n  {\r\n  \""name\"": \""send summary to Priya\"",\r\n  \""params\"": {}\r\n  }\r\n]\r\n}"" ,""tone"": ""null"" , ""key_points"": [], ""constraints_followed"": [] , ""risks_or_caveats"": []}",True,,"{""intent"": ""action_items"", ""response"": ""[\""Update the docs\"", \""Run the regression tests\"", \""Send the summary to Priya\""]"", ""tone"": ""null"", ""key_points"": [""null""] , ""constraints_followed"": [""null""], ""risks_or_caveats"": [""null""]}"
llama3.2:3b,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""error"":null,""message"":""Sorry for the delay in our response. We apologize for the inconvenience caused and are working to respond as soon as possible.""}",49.077148831807705,0.3612456000118982,1.0879790000035428,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""apology"", ""response"": ""Sorry for the delay in responding to your inquiry. We appreciate your patience and will respond as soon as possible."", ""tone"": ""polite"", ""key_points"": [""late reply"", ""customer appreciation""] , ""constraints_followed"": [] ,""risks_or_caveats"": []}",True,,"{""intent"": ""apology"", ""response"": ""Sorry for the delay, we're working to resolve the issue. Please allow a short time frame before expecting a response."", ""tone"": ""professional"", ""key_points"": [""late reply"", ""customer service""] , ""constraints_followed"": [] , ""risks_or_caveats"": [""shortened message""]}",True,,"{""intent"": ""apology"", ""response"": ""We apologize for the delay in responding to your inquiry. We are working diligently to address your concern and will be in touch shortly. Thank you for your patience."",""tone"": ""professional"",""key_points"": [""delay"", ""inquiry"", ""concern""], ""constraints_followed"": [ ], ""risks_or_caveats"": [""may take some time to respond""]}"
llama3.2:3b,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""type"": ""object"",
  ""properties"": {
    ""type"": {""type"": ""string"", ""enum"": [""sales"", ""support"", ""billing""]},
    ""response"": {""type"": ""string""}
  }
}",49.786802952397245,0.4504585999966366,1.5384144999989076,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""billing"", ""response"": ""I'd be happy to help you review your invoice, can you please provide more details about what's incorrect?"" , ""tone"": ""helpful"", ""key_points"": [""invoice"", ""amount""], ""constraints_followed"": [""return_valid_json""] , ""risks_or_caveats"": []}",True,,"{""intent"": ""billing"", ""response"": ""I can help you review your invoice, please provide more details about what's incorrect."",

  ""tone"": ""helpful"",
  ""key_points"": [
    ""Provide more information about the discrepancy""
  ],
  ""constraints_followed"": [
    ""schema: chatgpt""
  ]
  ,""risks_or_caveats"": [
    ""Please note that I'm not a financial expert and my response may not be definitive.""
  ]}",True,,"{
  ""intent"": ""support"",
  ""response"": ""I'd be happy to help you review your invoice amount, please provide more details about the error.""
  , ""tone"": ""helpful""
  , ""key_points"": [
      ""Review the invoice for any errors or discrepancies""
    ],
  ""constraints_followed"": [
    ""max_length=100""
  ]
  , ""risks_or_caveats"": []
}"
llama3.2:3b,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"Here is a rewritten version of the message:

{
  ""$schema"": ""https://json-schema.org/draft-07/schema#"",
  ""title"": ""Request for File Transmission"",
  ""description"": ""Please transmit the file as requested."",
  ""type"": ""object"",
  ""properties"": {
    ""file"": {
      ""type"": ""string""
    }
  },
  ""required"": [
    ""file""
  ]
}

Note: I have rewritten the message to be more polite and less direct. However, please note that this is still a request for action rather than an actual command.

Alternatively, if you want to",49.63049514755282,0.3726735000091139,3.1795585000072606,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""request_file"", ""response"": ""Please find the requested file attached to this message."", ""tone"": ""warm_and_professional"", ""key_points"": [""file"", ""attached""] ,""constraints_followed"": [""return_valid_json"", ""no_markdown"", ""text_outside_json""] ,""risks_or_caveats"": [""file may not be attached to the message"", ""file may not be in a format that can be opened by the recipient""]}",True,,"{
  ""intent"": ""get_file"",
  ""response"": ""Please provide the requested file by [current date] to facilitate timely processing.""
  , ""tone"": ""neutral""
  , ""key_points"":
   [
    ""Request acknowledged."",
    ""Please ensure the document is in its final format before submission.""
   ]
  , ""constraints_followed"": [""format"" ,""date""]
  , ""risks_or_caveats"": [
    ""Incomplete files may lead to delays in processing. Please double-check all information before submitting.""
  ]
}",True,,"{
  ""intent"": ""get_file"",
  ""response"": ""Please provide the requested file by [timestamp] so that I can review it.""
  ,""tone"": ""warm"" ,""key_points"": [""file"", ""provided""],""constraints_followed"": [""no_markdown"",""outside_json""]
  ,""risks_or_caveats"": []}"
llama3.2:3b,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""type"": ""object"", ""properties"": {""backup_matters"": {""type"": ""string""}}}",45.87093794600365,0.3869933999958448,0.9077861999976449,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B:llama3.2:3b,Llama-3.2-3B,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""explain"", ""response"": ""Backups are crucial before a software upgrade to ensure minimal disruption to your business. If something goes wrong during the upgrade, having a recent backup allows you to quickly restore your system to its previous state, minimizing data loss and downtime."" , ""tone"": ""informative"", ""key_points"": [""data_loss"", ""downtime""], ""constraints_followed"": [""Return only valid JSON matching the schema""] , ""risks_or_caveats"": [""data corruption"", ""system instability""]}",True,,"{""intent"": ""explain-backups"", ""response"": ""Backing up your data before a software upgrade is crucial for a small business because it ensures that you can recover lost information in case something goes wrong during the upgrade process. Without backups, you risk losing important files and data, which could have significant financial or operational consequences."" , ""tone"": ""informative"", ""key_points"": [""recovery of lost data"", ""financial or operational consequences""] , ""constraints_followed"": [""schema validation rules""] , ""risks_or_caveats"": [""loss of important files and data""]}",True,,"{
    ""intent"": ""explain"",
    ""response"": ""Backups are crucial before upgrading software, as they protect your business's data from potential loss or corruption during the transition. Losing critical information can be devastating, and backups ensure you have a safety net to fall back on in case something goes wrong.""
  , ""tone"": ""serious"" , ""key_points"": [""data protection"",""loss prevention""] ,""constraints_followed"": [""/jsonschema""] , ""risks_or_caveats"": [
    ""Risks of data loss during software upgrade"",
    ""Losing business information can be irreparable""
]}"
