model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
qwen2.5:3b-instruct,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""message"": ""An error in our schedule has occurred. We apologize.""
}",51.93887832798363,0.3451980000027106,0.746019799997157,2472.71484375,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""rewrite_sentence"",
  ""response"": ""[\""We have encountered a delay in our timeline. We apologize for any inconvenience this may cause.\""]""
  ,""tone"": ""professional"", ""key_points"": [""delay"", ""apology""]
  ,""constraints_followed"": [""short_response"", ""internal_email_format""]
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""rewrite_sentence"",
  ""response"": ""[\""We have encountered a delay in our timeline. We apologize for the inconvenience.\"", \""There has been a discrepancy with our schedule. Please accept our apologies.\""]""
  ,""tone"": ""professional""
, ""key_points"": [""delayed timeline"", ""apologies""]
, ""constraints_followed"": [""shorter than original sentence"", ""suitable for internal email""]
, ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""communication"",
  ""response"": ""{\""message\"": \""We have encountered a delay in our timeline and sincerely apologize for the inconvenience caused.\""}""
  ,""tone"": ""professional""
  ,""key_points"": [""delay"", ""apology""]
  ,""constraints_followed"": [""instruction_to_keep_it_short_and_suitable_for_an_internal_email""]
  ,""risks_or_caveats"": []
}"
qwen2.5:3b-instruct,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""update"": ""QA confirmed there are no blocking bugs, and the final mockup has been approved by design. The release is still scheduled for Friday.""}",48.181801324824335,0.3470753000001423,1.0900307000047178,2474.71484375,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""Summarize update"",
  ""response"": ""[{'text': 'QA has confirmed there are no blocking bugs, and the design team approved the final mockup. The release is still scheduled for Friday.', 'confidence': 1}, {'format': 'sentence', 'text': '[QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.]'}]""
  ,""tone"": ""informative""
  ,""key_points"": [""QA confirmed no blocking bugs"", ""Design approval of final mockup"", ""Release scheduled for Friday""]
  ,""constraints_followed"": [""Return only valid JSON matching the schema"", ""Do not include markdown or any text outside JSON""]
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""summarize_update"",
  ""response"": ""[{'text': 'QA has confirmed there are no blocking bugs, and the design team approved the final mockup. The release is still scheduled for Friday.', 'type': 'sentence'}]""
  ,""tone"": ""conversational""
,""key_points"": [""no_blocking_bugs"", ""design_approved_final_mockup"", ""release_planned_friday""]
,""constraints_followed"": [""Return only valid JSON matching the schema."", ""Do not include markdown or any text outside JSON.""]
,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""summary"",
  ""response"": ""{\""content\"":\""QA confirmed there are no blocking bugs, design approved the final mockup, and the release is still scheduled for Friday.\"",\""confidence\"":1.0}""
  ,""tone"":""informative""
  ,""key_points"":[
    ""No blocking bugs found by QA"",
    ""Design approval of the final mockup"",
    ""Release date remains as planned for Friday""
  ]
    ,""constraints_followed"": [""Return only valid JSON matching the schema"", ""Do not include markdown or any text outside JSON""]
    ,""risks_or_caveats"":[]
}"
qwen2.5:3b-instruct,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""sentiment"": ""positive"", ""reason"": ""The message indicates successful completion of a task despite initial failures, conveying a sense of accomplishment.""}",49.64202495264391,0.3381106999950134,1.0233815999963554,2474.71484375,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""positive"",
  ""response"": ""The message indicates a successful outcome after facing some challenges, which is considered positive.""
  ,
  ""tone"": ""neutral""
  ,
  ""key_points"": [
    ""deployment worked"",
    ""after retries""
  ]
  ,
  ""constraints_followed"": [
    ""Return only valid JSON matching the schema""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""positive"",
  ""response"": ""The message indicates success with minimal issues, which is considered positive.""
  ,
  ""tone"": ""neutral""
  ,
  ""key_points"": [""deployment worked"", ""two retries""]
  ,
  ""constraints_followed"": [
    ""Return only valid JSON matching the schema"",
    ""Do not include markdown or any text outside JSON""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""positive"",
  ""response"": ""The message indicates a positive outcome as the task was successfully completed despite initial failures, using terms like 'finally' and 'worked'""
  ,
  ""tone"": ""neutral""
  ,
  ""key_points"": [
    ""deployment worked after retries"",
    ""success following failed attempts""
  ]
  ,
  ""constraints_followed"": [""intent"", ""tone"", ""key_points""]
  ,
  ""risks_or_caveats"": []
}"
qwen2.5:3b-instruct,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
[
    {
        ""schema"": [
            ""array""
        ],
        ""data"": [
            {
                ""message"": ""Caching keeps all the stuff you use a lot, so your app doesn't have to look for it again and again.""
            }
        ]
    }
]",49.13438293356833,0.3372044999996433,1.709421999999904,2474.71484375,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""explain"",
  ""response"": ""Caching is like keeping your favorite snacks in a special box so you don't have to go look for them every time you want to eat something yummy. Instead, you can just grab what you need from the box without having to find everything all over again.""
  ,
  ""tone"": ""simple""
  ,
  ""key_points"": [
    ""Caching saves frequently used data"",
    ""Data is not fetched repeatedly each time needed"",
    ""It's like having a special storage for often-used items""
  ]
  ,
  ""constraints_followed"": [""Return only valid JSON matching the schema""]
  ,
  ""risks_or_caveats"": []
}",True,,"{""intent"": ""explain"", ""response"": ""{\""instruction\"": \""Caching saves the stuff you use often so your app doesn't have to look for it every time you need it\"", \""input\"": \""\""}'}"", ""tone"": ""simple"", ""key_points"": [""caching"", ""frequently used data"", ""app does not fetch from scratch each time""], ""constraints_followed"": [""Return only valid JSON matching the schema."", ""Do not include markdown or any text outside JSON.""], ""risks_or_caveats"": []}",True,,"{
  ""intent"": ""explain"",
  ""response"": ""Caching is like saving a favorite recipe in your phone. Instead of writing everything down each time you want to bake cookies, you just check the recipe you saved before. This way, you don't have to start from scratch every single time you need it.""
  ,
  ""tone"": ""simple"",
  ""key_points"": [
    ""Caching saves data so it can be used quickly without having to retrieve everything again."",
    ""It's like pre-baking cookies for different days by saving one batch instead of making a new one every time you want some.""
  ]
  ,
  ""constraints_followed"": [""Return only valid JSON matching the schema""]
  ,
  ""risks_or_caveats"": []
}"
qwen2.5:3b-instruct,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""content"": ""Hello [Colleague's Name],\n\nI hope you are doing well. Unfortunately, I'm afraid the report is still in progress and isn't ready for review yet. I will ensure to keep you updated on its status as soon as it's completed.\n\nThank you for your understanding,\n[Your Name]"",
  ""conversation_role"": ""assistant""
}",50.10715598626526,0.33235539999441244,2.1250190999999177,2474.71484375,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""reply"",
  ""response"": ""Hello [Colleague's Name],\n\nI hope you're doing well. I understand that you need the latest report, but as of now, it hasn't been finalized yet. I'll make sure to keep you updated and let you know when it's ready.\n\nThank you for your understanding,\n[Your Name]""
  ,
  ""tone"": ""friendly"",
  ""key_points"": [""understanding"", ""update""]
  ,
  ""constraints_followed"": [
    ""kept the response polite and friendly"",
    ""included a placeholder for Colleague's Name"",
    ""mentioned that they'll be kept updated""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""reply"",
  ""response"": ""{\""text\"": \""Hello! Thank you for your patience. The report is still being finalized, and I'll let you know as soon as it's ready. Looking forward to assisting you.\""}""
  , ""tone"": ""friendly""
  , ""key_points"": [""report"", ""not_ready_yet""]
  , ""constraints_followed"": [
    ""The response was polite and courteous."",
    ""The response acknowledged the colleague's request for information."",
    ""The response indicated the expected next steps.""
  ]
  , ""risks_or_caveats"": [""The report might not be ready as initially anticipated.""]
}",True,,"{
  ""intent"": ""reply"",
  ""response"": ""{\""text\"": \""Hi [Colleague's Name], I'm sorry to inform you that the report is not ready yet. I'll update you as soon as it's available. Thanks for your understanding!\""}""
  ,""tone"": ""friendly_and_honest""
  ,""key_points"": [""reply politely"", ""inform about report status"", ""promise to keep updated""]
  ,""constraints_followed"": [""kept the response within a single JSON object"", ""used placeholders for name and omitted any unnecessary text or symbols""]
  ,""risks_or_caveats"": []
}"
qwen2.5:3b-instruct,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""actionItems"": [
    {
      ""description"": ""update the docs"",
      ""status"": null,
      ""assignee"": null
    },
    {
      ""description"": ""run the regression tests"",
      ""status"": null,
      ""assignee"": null
    },
    {
      ""description"": ""send the summary to Priya"",
      ""status"": null,
      ""assignee"": ""Priya""
    }
  ]
}",39.4497220559451,0.3922359999996843,2.945795100000396,2474.71484375,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""perform_actions"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya."",
  ""tone"": ""instructions"",
  ""key_points"": [
    ""Update the docs"",
    ""Run the regression tests"",
    ""Send the summary to Priya""
  ]
  ,
  ""constraints_followed"": [
    ""Update the documentation"",
    ""Execute regression testing procedures"",
    ""Communicate findings to Priya""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""perform_actions"",
  ""response"": ""Please update the docs, run the regression tests, and send the summary to Priya."",
  ""tone"": ""requestive"",
  ""key_points"": [
    ""Update the docs"",
    ""Run the regression tests"",
    ""Send the summary to Priya""
  ]
  ,
  ""constraints_followed"": [
    ""Request for actions to be performed"",
    ""Specify tasks and recipients clearly""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""extract_action_items"",
  ""response"": ""[\""update the docs\"", \""run the regression tests\"", \""send the summary to Priya\""]""
  ,""tone"":""conversational""
  ,""key_points"":[],
  ""constraints_followed"": [""Return only valid JSON matching the schema"", ""Include: Return only valid JSON matching the schema"", ""Do not include markdown or any text outside JSON""]
  ,""risks_or_caveats"":[]
}"
qwen2.5:3b-instruct,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{
  ""content"": ""We apologize for the delay in responding to your inquiry. Please expect our reply shortly."",
  ""from"": ""Customer Service Team"",
  ""subject"": ""Apology for Delayed Response""
}",51.52295700554846,0.2009399000016856,1.1439361000011559,2467.50390625,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""apology"",
  ""response"": ""Dear [Customer], I apologize for the delay in my response. Please accept my apologies. Kind regards, [Your Name]""
  ,
  ""tone"": ""formal""
  ,
  ""key_points"": [""apology"", ""delay"", ""customer""]
  ,
  ""constraints_followed"": [""under_40_words""]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""apology"",
  ""response"": ""Dear [Customer], I apologize for the delay in responding to your query. Please forgive me. Best regards.""
  ,
  ""tone"": ""formal""
  ,
  ""key_points"": [""apology"", ""delayed response"", ""customer""]
  ,
  ""constraints_followed"": [""concise"", ""under_40_words""]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""apology"",
  ""response"": ""Apologies for the delay in responding to your query. I regret any inconvenience caused.""
    ,""tone"": ""professional""
  , ""key_points"": [""delay"", ""inconvenience"", ""regret""]
, ""constraints_followed"": ["">=3 & <=40 words""]
, ""risks_or_caveats"": []
}"
qwen2.5:3b-instruct,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""responseType"": ""text"",
  ""text"": ""billing""
}",53.166869833029445,0.18229609999980312,0.5388722999996389,2467.50390625,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""billing"",
  ""response"": ""I can help you verify your invoice amount to ensure it is accurate.""
  ,
  ""tone"": ""friendly""
  ,
  ""key_points"": [""invoice"", ""amount"", ""verify""]
  ,
  ""constraints_followed"": [
    ""intent classification"",
    ""use of valid JSON format"",
    ""one-sentence response""
  ]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""billing"",
  ""response"": ""I can help you verify your invoice amount if it seems incorrect.""
  ,""tone"": ""helpful""
  ,""key_points"": [""invoice"", ""incorrect""]
  ,""constraints_followed"": []
  ,""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""billing"",
  ""response"": ""I understand your concern about the invoice amount. I will investigate this for you immediately.""
    ,""tone"": ""helpful""
  , ""key_points"": [""invoice"", ""amount""]
  ,""constraints_followed"": [
    ""kept response within one sentence"",
    ""included an action plan to resolve the issue"",
    ""referred back to specific terms mentioned in request (invoice, amount)""
  ]
  , ""risks_or_caveats"": [""the invoice might not be wrong""]
}"
qwen2.5:3b-instruct,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{
  ""message"": ""Send me the file today."",
  ""rewrite"": ""Could you please send me the file today?""
}",52.694921809204864,0.17896019999898272,0.7394491999948514,2467.50390625,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""request"",
  ""response"": ""Could you please send me the file today?"",
  ""tone"": ""warm""
  ,
  ""key_points"": [
    ""file"",
    ""today""
  ]
  ,
  ""constraints_followed"": [""Return only valid JSON matching the schema""]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""request"",
  ""response"": ""Could you please send me the file by today?""
  ,
  ""tone"": ""warm""
  ,
  ""key_points"": [
    ""file"",
    ""today""
  ]
  ,
  ""constraints_followed"": [""professional""]
  ,
  ""risks_or_caveats"": []
}",True,,"{
  ""intent"": ""request_document"",
  ""response"": ""Could you please send the file to me today?""
  ,
  ""tone"": ""welcoming_and_professional""
  ,
  ""key_points"": [
    ""Request for document delivery"",
    ""Suggest using 'today' as a timeframe"",
    ""Maintain professional tone while being warm and friendly""
  ]
  ,
  ""constraints_followed"": [
    ""No urgent or time-sensitive language used"",
    ""Use courteous language in request""
  ]
  ,
  ""risks_or_caveats"": [
    ""Sender might not receive the file within the proposed timeframe""
  ]
}"
qwen2.5:3b-instruct,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{
  ""text"": ""Before upgrading your software, it's crucial to back up important data as part of your disaster recovery plan. This ensures you don't lose valuable information in case something goes wrong during the upgrade process. Backups provide a safety net allowing you to restore your systems and data if necessary, minimizing downtime and financial losses. Don't assume that regular backups are sufficient; always ensure recent, up-to-date backups before any major changes or upgrades occur in your business environment.""
}",51.78998210159144,0.19179849999636644,2.2299331999965943,2467.50390625,1.0,,Chat:ollama:Qwen2.5-3B-Instruct:qwen2.5:3b-instruct,Qwen2.5-3B-Instruct,qwen2.5:3b-instruct,ollama,,large,3.1B,62.7,False,True,,"{
  ""intent"": ""explain"",
  ""response"": ""{\""text\"":\""Before upgrading your software, it's crucial to back up all important data and configurations. This ensures that if anything goes wrong during the upgrade process, you can restore your system to a known good state without losing any valuable information or settings. Backups provide peace of mind and safeguard against potential disruptions in business operations.\""}""
  ,""tone"":""informative""
  ,""key_points"":[""backups"",""software upgrades"",""data protection""]
  ,""constraints_followed"": [""explain"", ""short paragraph"", ""small business owner""]
  ,""risks_or_caveats"":[]
}",True,,"{
  ""intent"": ""explain"",
  ""response"": ""{\""text\"": \""A backup is essential before upgrading software to ensure that your data remains intact in case of unforeseen issues or errors during the upgrade process, preventing potential loss and downtime for your business.\""}""
  ,""tone"":""professional""
  ,""key_points"":[
    ""data protection"",
    ""prevent data loss"",
    ""reduce downtime""
  ]
  ,""constraints_followed"": [
    ""valid json format""
  ]
  ,""risks_or_caveats"": [
    ""unknown issues during upgrade"",
    ""incompatibility between old and new software versions""
  ]
}",True,,"{
  ""intent"": ""explain"",
  ""response"": ""{\""utterance\"":\""Backups matter before a software upgrade because, in case something goes wrong during the upgrade process, you can revert to your backup and continue operations without losing data or experiencing downtime.\"",\""entities\"":[],\""meta\"":{}}""
  , ""tone"": ""neutral""
  , ""key_points"":[""data integrity"",""reliability assurance"",""operational continuity""]
  , ""constraints_followed"": [""Return only valid JSON matching the schema."", ""Do not include markdown or any text outside JSON.""]
  , ""risks_or_caveats"":[]
}"
