model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
gemma2:2b,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""instruction"": ""Return only valid JSON matching the schema."",
  ""output"": {
    ""body"": ""Apologies for missing the timeline. We're working to adjust accordingly."" 
  }
}
```",56.73890063990774,0.4061615000027814,1.500675900002534,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""apology"", ""response"": ""Timeline adjustment necessary. Apologies for inconvenience."" , ""tone"": ""professional"", ""key_points"": [""timeline adjustment"", ""inconvenience""] , ""constraints_followed"": [""short"", ""internal email"", ""suitable for professional communication""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""apologize"", ""response"": ""Timeline slip-up; apologies. Let's discuss next steps."" , ""tone"": ""professional, calm"" , ""key_points"": [ ""timeline"", ""slip-up"", ""discuss next steps"" ] ,""constraints_followed"": [""short and professional""]
  	  	 	   	   	    ,""risks_or_caveats"": [ ""delay"", ""communication breakdown"" ] }",True,,"{""intent"": ""apology"", ""response"": ""We regret deviating from the original timeline. We are working to rectify the situation."" , ""tone"": ""professional"" , ""key_points"": [ ""Timeline adjustment"", ""Resolving the issue"" ]
  	   	 	  	   	  		, ""constraints_followed"": [""keep it short and professional"",""suitable for an internal email""] ,""risks_or_caveats"": [""impacts on other team members"", ""lack of clarity or communication""]}"
gemma2:2b,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""status"": ""successful"",
  ""summary"": [
    ""No blocking bugs have been identified by QA."",
    ""Design has approved the final mockup.""
  ],
  ""release_status"": {
    ""planned"": ""Friday"",
    ""notes"": """"
  }
}
```",53.616680105112195,0.4941021999984514,2.0689865999956965,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""update_status"", ""response"": ""QA has confirmed no blocking bugs, design approved the final mockup, and release is still planned for Friday."" , ""tone"": ""positive"" , ""key_points"": [""QA""], ""constraints_followed"": [""no blocking bugs"", ""design approved final mockup"", ""release on friday""]
  	 	 	 	 	 	 	 	 	 ,""risks_or_caveats"": []}",True,,"{""intent"": ""update"", ""response"": ""QA has identified no blocking bugs, design approved the final mockup, and release is still scheduled for Friday."" ,""tone"": ""positive"" ,""key_points"": [
  ""No blocking bugs found by QA"",
  ""Design has approved the final mockup"",
  ""Release is still planned for Friday""
]
  , ""constraints_followed"" : [""no text"", ""JSON only""]
  ,""risks_or_caveats"": []} ",True,,"{""intent"":""update"",""response"": ""All major milestones were successfully completed: QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday."",""tone"":""positive"", ""key_points"":[
   ""QA verified no critical issues in code"",
   ""Design has approved the finished mockup"", "",""
   ], ""constraints_followed"": [
   ""Time-sensitive tasks are moving forward"",
   ""Communication regarding the release is clear""
  ] , ""risks_or_caveats"": [] }"
gemma2:2b,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""classification"": ""neutral"",
  ""explanation"": ""The message conveys a factual update about the deployment but lacks emotional tone.""
}
```",53.84361950198436,0.42908539999916684,1.2216992999965441,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""neutral"", ""response"": ""This message indicates a successful outcome after multiple attempts, but doesn't express positive or negative sentiment."" ,""tone"": ""informative"" , ""key_points"": [""deployment"", ""retries"", ""success""] ,""constraints_followed"": [""no text outside JSON"", ""only valid JSON matching the schema""]
  	  	   	   	   	  , ""risks_or_caveats"": [""missing context""] }",True,,"{""intent"": ""neutral"", ""response"": ""This statement indicates a technical success, but doesn't convey positive or negative emotions."" ,""tone"": ""objective"" , ""key_points"": [""deployment"",""retries"", ""success""] ,""constraints_followed"": [""positive_negative_neutral""] ,""risks_or_caveats"": []} ",True,,"{""intent"": ""neutral"", ""response"": ""This message indicates a successful outcome, but lacks enthusiasm."" ,""tone"": ""neutral"" , ""key_points"": [""deployment""], ""constraints_followed"": [""no unexpectedness""], ""risks_or_caveats"": [""overly simplistic description""]}"
gemma2:2b,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""schema"": ""object"",
  ""properties"": {
    ""explanation"": {
      ""type"": ""string"",
      ""description"": ""A plain English explanation of how caching works"" 
    }
  },
  ""required"": [
    ""explanation""
  ]
}
```",55.773688403404826,0.4362547999990056,1.9516390999997384,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""Explain caching in simple terms"", ""response"": ""Imagine you're making a sandwich. You don't want to start from scratch every time, right?  Caching is like storing all the ingredients for your sandwich so you can grab them quickly and easily when you need them. 🍔"" , ""tone"": ""simple"", ""key_points"": [""caching stores data"", ""so it's faster to use""], ""constraints_followed"": [""no text outside of JSON"", ""only valid JSON matching the schema""]
  	 	 	 	 	 	 	 	 	 ,""risks_or_caveats"": [""not all data is stored in a cache"", ""the app may still need to fetch some data from scratch""]}",True,,"{""intent"": ""Explanation of caching for a non-technical audience"", ""response"": ""Imagine you're making a sandwich.  Instead of always measuring out ingredients from scratch, you can keep some commonly used items like bread and cheese on hand to save time and effort. Caching works the same way! It stores information that is often needed quickly in a special place called a cache, so your app doesn't have to re-find it every time. This saves a lot of processing power and makes things much faster."" ,""tone"": ""Explanation for non-technical audience"" , ""key_points"": [
  ""Caching stores commonly used data."",
  ""It speeds up the process by not having to fetch information repeatedly."",
  ""Think of it like keeping your ingredients on hand instead of always measuring them from scratch.""] ,""constraints_followed"": [""Explanation for non-technical audience"", ""Key points in plain English""]
  ,""risks_or_caveats"": [] }",True,,"{""intent"": ""Explain"", ""response"": ""Think of it like this: If you're trying to write a story, but need the same characters repeatedly, instead of writing them over and over, you might keep their details handy on a notepad for quicker reference later in your story. That's exactly what caching does! It stores often-used data so our app doesn't waste time getting it again and again every single time we need it."" ,""tone"": ""casual"", ""key_points"": [""Data is stored in a special place"", ""No more waiting for slow downloads!"", ""Faster and smoother experience""] ,""constraints_followed"": [] ,""risks_or_caveats"": [""None"", ""This explanation simplifies the complex process of caching. ""] }"
gemma2:2b,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""response"": ""Hey [Colleague's Name], no worries! The report is still in progress, but I will let you know as soon as it's complete. Thanks for your patience!"",
  ""status_code"": 200
}
```",56.12877187574337,0.45090760000312,1.7647056999994675,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""response"", ""response"": ""Hi [Colleague's Name],  Thanks for reaching out! The latest report is still in progress, but I'll keep you updated on its completion. Let me know if there's anything else I can help with in the meantime."" ,""tone"": ""polite"" , ""key_points"": [""report is not ready yet"", ""will update colleague"", ""offer assistance""]
  	  	   	  	  	  	 ,""constraints_followed"": [""no text outside JSON"", ""only valid JSON matching schema""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""response"", ""response"": ""Hi [colleague's name], thanks for reaching out! The report is still in progress and won't be ready until [estimated completion time]. I'll let you know as soon as it's finalized. Sorry for the delay!""
  ,""tone"": ""polite"" , ""key_points"": [""report not yet finished"", ""estimated completion time""] , ""constraints_followed"": [""informative"", ""assertive""]
  ,""risks_or_caveats"": [""no risks or caveats""] } ",True,,"{
  ""intent"": ""response"",
  ""response"": ""Hey [Colleague's Name], I wanted to let you know that the latest report isn't quite finalized yet. I'm working on it and will be sure to send it over as soon as possible!"",
  ""tone"": ""positive"",
  ""key_points"": [""Report not finished"", ""Working on completion""]
  ,
  ""constraints_followed"": [ ]
  ,
  ""risks_or_caveats"": [ ] }"
gemma2:2b,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""action_items"": [
    ""update the docs"",
    ""run the regression tests"",
    ""send the summary to Priya""
  ]
}
```",52.22541390717669,0.42112149999593385,1.3880308000007062,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""action_items"", ""response"": ""Update the docs\nRun the regression tests\nsend the summary to Priya"" , ""tone"": ""instructional"", ""key_points"": [""update the docs"", ""run the regression tests"", ""send the summary to Priya""] ,""constraints_followed"": [] , ""risks_or_caveats"": []}",True,,"{""intent"": ""assign_tasks"", ""response"": ""[{\""task\"": \""update the docs\""}, {\""task\"": \""run the regression tests\""}, {\""task\"": \""send the summary to Priya\""}]"" , ""tone"": ""informative"", ""key_points"": [""Update the docs"", ""Run regression tests"", ""Send summary to Priya"" ]
  , ""constraints_followed"" : [ ""update the docs"", ""run the regression tests"", ""send the summary to Priya""] ,""risks_or_caveats"": []}",True,,"{
  ""intent"": ""task_list"",
  ""response"": "" 1. Update the docs\n2. Run the regression tests\n3. Send the summary to Priya""
  ,""tone"": ""instructional"" ,""key_points"": [""docs""], ""constraints_followed"": [""update""] ,""risks_or_caveats"": [""Regression Test Failure"", ""Summary not sent""]
}"
gemma2:2b,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
  ""status"": ""success"",
  ""response"": ""My apologies for the delayed reply, I am checking messages now. How can I assist you?""
}
``` 
",52.04082224026041,0.45715149999887217,1.4286274000041885,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""apology"", ""response"": ""I apologize for the delayed response. I'm currently working on [brief explanation of reason]. Please let me know if you have any questions."" ,""tone"": ""professional"" , ""key_points"": [""apology"", ""explanation"", ""questions""] ,""constraints_followed"": [""no text outside JSON"", ""under 40 words"", ""professional tone""] ,""risks_or_caveats"": []}",True,,"{""intent"": ""apology"", ""response"": ""My apologies for the delayed response. I'm currently catching up on messages. How can I assist you today?"" ,""tone"": ""professional"" ,""key_points"": [""delayed response"",""assistance"" , ""catch up on messages""]
  	 	 	 	 	 	 	 	 	 ,""constraints_followed"" : [""response time"", ""customer service"", ""communication""] ,""risks_or_caveats"": [""disruption in customer engagement"",""lack of communication""] }
",True,,"{""intent"": ""apology"", ""response"": ""Thank you for your patience! I'm sorry for the delayed response, but I'm now ready to assist you."" ,""tone"": ""polite"" , ""key_points"": [ ""delay response""], ""constraints_followed"": [""none""] , ""risks_or_caveats"": [""""]}"
gemma2:2b,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","```json
{
  ""type"": ""response"",
  ""content"": ""I'll look into your invoice for you. Can I get your account number so I can access it?"",
}
```",55.546887498049685,0.4372445999979391,1.3781531999993604,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""billing"", ""response"": ""I understand you're concerned about your invoice amount. Can you please provide me with your invoice number so I can look into this for you?""
  	 	  	  	  	  	  	, ""tone"": ""support"" , ""key_points"": [""invoice"", ""billing""] ,""constraints_followed"" : [] ,""risks_or_caveats"": []}
",True,,"{""intent"": ""billing"", ""response"": ""I'd be happy to look into this invoice for you. Please provide your account number and the invoice details so I can assist further.""
  	  	  	  	 	  	   , ""tone"": ""Help"" ,""key_points"": [""invoice"",""account_number""], ""constraints_followed"": [""billing""] ,""risks_or_caveats"": []} ",True,,"{""intent"": ""billing"", ""response"": ""We'd be happy to look into this for you! Can you please share your invoice number and the specific amount you think is incorrect?"" ,""tone"": ""helpful"" , ""key_points"": [""invoice"", ""incorrect""], ""constraints_followed"": [""requestType""] , ""risks_or_caveats"": [""missing information""]} "
gemma2:2b,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{""message"": ""Would it be possible to get the file by today's end? Thanks!""}
``` 
",50.09524141846922,0.45175720000406727,1.1118834000008064,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""request"", ""response"": ""Could you please send me the file today? Thanks!"" , ""tone"": ""polite"" , ""key_points"": [""file"", ""today""] , ""constraints_followed"": [""formal"", ""professional"", ""positive""] , ""risks_or_caveats"": []} ",True,,"{""intent"": ""request"",
 ""response"": ""Would you mind sending over the file as soon as possible today? Thanks!""
  ,""tone"": ""polite""
  , ""key_points"": [
    ""Kindly send the file."",
    ""I'd appreciate it if you could send it today.""
  ] ,""constraints_followed"": [""context""]
  , ""risks_or_caveats"": []} ",True,,"{""intent"": ""request"", ""response"": ""Could you please send me the file as soon as possible? Thank you!"" ,""tone"": ""professional, polite"" , ""key_points"": [""file""], ""constraints_followed"": [] , ""risks_or_caveats"": []} "
gemma2:2b,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"```json
{
 ""schema_name"": ""chat_generation"",
  ""response"": {
   ""text"": ""Backups are crucial before a software upgrade, as they safeguard your business data from accidental deletion or corruption during the process. Ensuring you have a reliable backup will save valuable time and money in case something goes wrong. Remember to test the restoration process after upgrading to ensure everything is working correctly.""
  },
  ""confidence"": {
   ""value"": ""high"",
   ""reason"": ""The information provided explains the importance of backups before a software upgrade for small businesses, with clear reasoning and concise",56.04405342819723,0.427458399994066,3.096827099994698,2526.71484375,1.0,,Chat:ollama:gemma-2-2b-jpn-it:gemma2:2b,gemma-2-2b-jpn-it,gemma2:2b,ollama,,large,2.6B,74.1,False,True,,"{""intent"": ""explain_backup_importance"", ""response"": ""Backups are crucial before software upgrades to prevent data loss.  If something goes wrong during the upgrade, backups ensure you can restore your business's critical files and systems, minimizing downtime and potential financial losses."" ,""tone"": ""informative"", ""key_points"": [""data loss prevention"", ""system restoration"", ""minimizing downtime"", ""financial losses""]
  	  	   	  	  	  	 ,""constraints_followed"": [""schema_type: Chat & Generation JSON""] ,""risks_or_caveats"": [""Data loss can be catastrophic for a small business. A backup ensures you're prepared to recover from any unforeseen issues.""]
}",True,,"{""intent"": ""explain"", ""response"": ""Backups are crucial before software upgrades to prevent data loss.  They ensure you can restore your business systems if anything goes wrong during the upgrade, minimizing downtime and financial impact. It's a safety net in case of unforeseen issues or errors."" ,""tone"": ""helpful"",""key_points"": [""Data Loss Prevention"", ""System Restoration"", ""Downtime Minimization"", ""Financial Impact Reduction""],""constraints_followed"": []
  ,""risks_or_caveats"": [""Potential for data loss during software upgrade""]}",True,,"{""intent"": ""explain_why_backups_matter"", ""response"": ""Before upgrading your software, ensure you have backups of all crucial data to avoid losing important information during the changeover. This prevents downtime and minimizes disruption, keeping your business running smoothly even if something goes wrong."",""tone"": ""neutral"" ,""key_points"": [
  ""Backups prevent data loss from unforeseen issues.""
, ""]} 2047-10-13 08:56:45 749e4c6c 14f7c23a  ""
   ]
  , ""constraints_followed"": [ ],""risks_or_caveats"": [ ] }"
