model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
llama3.2:3b,101,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should produce a concise professional rewrite that apologizes without sounding defensive or overly casual.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,"Rewrite this sentence to sound professional and calm: 'We messed up the timeline, sorry.' Keep it short and suitable for an internal email. In your answer, follow the Chat & Generation JSON schema and include the required instruction: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""text"": ""Apologies for the schedule deviation. We are re-evaluating our timeline to ensure alignment.""}",50.52308571564839,0.4089906000008341,0.9498321999999462,2695.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""apology"", ""response"": ""We experienced a scheduling discrepancy. We are taking immediate action to rectify the situation."",""tone"": ""calm"", ""key_points"": [""scheduling issue"",""rectification underway""],""constraints_followed"": [],""risks_or_caveats"": [""No further impact expected on project timeline.""] }",True,,"{""intent"": ""apologetic"", ""response"": ""We experienced a scheduling conflict, and we will adjust our schedule accordingly."", ""tone"": ""calm"", ""key_points"": [""Adjusting Schedule"", ""Scheduling Conflict""] ,""constraints_followed"": [],""risks_or_caveats"":[]}",True,,"{""intent"": ""apology"", ""response"": ""We encountered a scheduling conflict and will re-schedule as soon as possible."", ""tone"": ""professional"", ""key_points"": [""Timeline adjustment planned""] , ""constraints_followed"": [""respectful tone"", ""acknowledged mistake""] , ""risks_or_caveats"": []}"
llama3.2:3b,102,Chat & Generation,easy,"[""summarization"", ""stakeholder_communication""]",Should produce a brief manager-friendly summary with the three facts preserved.,"[""schema_validity"", ""factual_grounding"", ""concision"", ""instruction_following""]",null,,"Summarize this update in two sentences for a manager: 'QA found no blocking bugs, design approved the final mockup, and release is still planned for Friday.' Follow the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""status"": ""update"", ""message"": ""No blocking bugs found in QA, final mockup design approved, and release remains on schedule for Friday."", ""validity"": true}",47.52804154451126,0.5274190000054659,1.3849254999950062,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""update"", ""response"": ""The QA team has completed their testing and found no blocking bugs, and the design has been approved for the final mockup. The release is still scheduled to take place on Friday."",""tone"": ""informative"", ""key_points"": [""QA found no blocking bugs"", ""design approved final mockup"", ""release planned for Friday""],""constraints_followed"": [""Chat & Generation JSON schema"", ""Return only valid JSON matching the schema"", ""Do not include markdown or any text outside JSON""],""risks_or_caveats"": []}",True,,"{""intent"": ""update"", ""response"": ""The QA team has confirmed no blocking bugs, the design has been approved, and the release is still scheduled for Friday."",""tone"": ""neutral"", ""key_points"": [""QA found no blocking bugs"", ""design approved the final mockup"", ""release planned for Friday""], ""constraints_followed"": [] , ""risks_or_caveats"": []}",True,,"{""intent"": ""manager"", ""response"": ""The update from QA reveals no blocking bugs were found, and the final mockup has been approved for release on Friday."", ""tone"": ""informative"", ""key_points"": [""QA found no blocking bugs"", ""final mockup approved""],""constraints_followed"": [""/format/json"", ""/validate/json"", ""/trim/true"", ""/indent/4""] ,""risks_or_caveats"": [""release date has not changed yet""]}"
llama3.2:3b,103,Chat & Generation,easy,"[""classification"", ""extraction""]","Should classify as positive or neutral depending on framing, and explain that the deployment succeeded after retries.","[""schema_validity"", ""classification_accuracy"", ""concision"", ""instruction_following""]",null,,"Classify the message as positive, neutral, or negative and explain why in one short sentence: 'The deployment finally worked after two retries.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""message"": ""The deployment finally worked after two retries."", ""type"": ""positive"", ""sentiment"": ""neutral""}",47.93207214219307,0.3828704000043217,0.9646826000098372,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""neutral"", ""response"": ""The message is neutral because it describes a successful outcome without expressing emotion or enthusiasm."" , ""tone"": ""neutral"", ""key_points"": [""deployment"", ""retries""], ""constraints_followed"": [] , ""risks_or_caveats"": []}",True,,"{""intent"": ""positive"", ""response"": ""The message is positive because it mentions that a difficult task was successful after repeated attempts."" , ""tone"": ""positive"", ""key_points"": [""deployment worked"", ""retries were successful""], ""constraints_followed"": [] , ""risks_or_caveats"":[]}",True,,"{""intent"": ""neutral"", ""response"": ""positive"", ""tone"": ""neutral"", ""key_points"": [""deployment succeeded after retries"", ""no negative emotions expressed""] , ""constraints_followed"": [""return only valid json matching schema"", ""do not include markdown"", ""text outside of json ""] ,""risks_or_caveats"":[]}"
llama3.2:3b,104,Chat & Generation,easy,"[""technical_translation"", ""plain_language""]",Should explain caching simply and accurately in everyday language.,"[""schema_validity"", ""tone_control"", ""factual_grounding"", ""instruction_following""]",null,,Turn this technical explanation into plain English for a non-technical user: 'Caching stores frequently used data so the app does not fetch it from scratch each time.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""$schema"": ""http://json-schema.org/draft-07/schema#"", ""title"": ""Caching Explanation"", ""type"": ""object"", ""properties"": {""explanation"": {""type"": ""string"", ""description"": ""A simple explanation of caching that a non-technical user can understand""}}}",49.59459518101717,0.38814639998599887,1.7966569999989588,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""EXPLAIN"", ""response"": ""Imagine you're at a store with lots of products. If someone wants to buy something, they don't have to look through every single product to find what they want. They can just go straight to the shelf where their favorite item is. That's kind of like what caching does for apps. It stores frequently used data so the app doesn't have to get it from scratch each time. This makes things faster and more efficient."",""tone"": ""None"", ""key_points"": [""Caching stores frequently used data"", ""Makes things faster and more efficient""], ""constraints_followed"": [""None""] , ""risks_or_caveats"": [""If the cached data is outdated, it can cause problems.""]}",True,,"{""intent"": ""explain-caching-in-simple-terms"", ""response"": ""Imagine you're using an app that shows you a list of products. Every time you open the app, it might take some time to load all those products. But what if we could save some of the data - like the product names and prices - so the app can use them quickly next time? That's basically what caching is. It's like storing frequently used information in a super-fast memory (called a cache) so the app doesn't have to start from scratch each time you open it."",""tone"": ""friendly"", ""key_points"": [""caching saves data for quick access"",""it makes apps work faster""],""constraints_followed"": [""return only valid JSON matching the schema""], ""risks_or_caveats"": [""some caching might store sensitive info, which is a security risk""]}",True,,"{""intent"": ""PLAIN_ENGLISH"", ""response"": ""Think of caching like a storage box. It stores things that you use often, like your favorite snack or a book you always read. When you need those things again, it gives them to you right away instead of having to go find them in the whole library. Apps work similarly with data, they store what's used most often in a cache so it can get that information quickly without asking for it every time."" , ""tone"": ""informative"", ""key_points"": [""caching"", ""storage box""], ""constraints_followed"": [""return only valid JSON matching the schema""] , ""risks_or_caveats"": []}"
llama3.2:3b,105,Chat & Generation,easy,"[""customer_support_style"", ""tone_control""]","Should acknowledge the delay, state the report is not ready, and give a reasonable next step or time expectation without overpromising.","[""schema_validity"", ""tone_control"", ""accuracy"", ""instruction_following""]",null,,"Write a polite reply to a colleague who asked for the latest report, but the report is not ready yet. Keep the tone friendly and honest. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{
  ""response"": {
    ""status"": ""pending"",
    ""message"": ""The report is not ready yet, but I will update you as soon as it's available.""
  }
}",49.659878282427115,0.3676944999897387,1.2647928999940632,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{
  ""intent"": ""report_not_ready"",
  ""response"": ""Hi, I appreciate your request for the latest report. Unfortunately, it's not ready yet as we're still in the process of finalizing the data. I'll make sure to get it to you as soon as possible."",
  ""tone"": ""friendly""
  , ""key_points"": [
    ""report_not_ready"",
    ""finalizing_data""
  ]
  , ""constraints_followed"": [
    ""return only valid JSON matching the schema""
  ]
  , ""risks_or_caveats"": [
    ""may not be up-to-date""
  ]
}",True,,"{
    ""intent"": ""reply-to-report-request"",
    ""response"": ""I appreciate your request for the latest report, but it's still in the process of being finalized. I'll have an update as soon as it's ready."",
    ""tone"": ""friendly"",
    ""key_points"": [
        ""report_not_ready"",
        ""will_update_soon""
    ]
  , ""constraints_followed"": [""schema""]
    , ""risks_or_caveats"": [
    ""may_influence_response""
       ]}",True,,"{""intent"": ""Response"", ""response"": ""Thank you for reaching out to me about the latest report. I'm currently working on it and will have an update ready soon. I'll be in touch with a confirmed timeline as soon as possible."", ""tone"": ""polite"", ""key_points"": [""the reporter is not yet ready"", ""will keep the colleague updated""] , ""constraints_followed"": [] ,""risks_or_caveats"": [""may have to send multiple updates for an actual final report."", ""may need the assistance of additional team members.""]}"
llama3.2:3b,106,Chat & Generation,easy,"[""extraction"", ""instruction_following""]",Should list the three action items clearly and avoid adding unsupported items.,"[""schema_validity"", ""extraction_accuracy"", ""factual_grounding"", ""instruction_following""]",null,,"Extract the action items from this sentence: 'Please update the docs, run the regression tests, and send the summary to Priya.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""actions"": [{""type"": ""update"", ""target"": ""docs""}, {""type"": ""run"", ""target"": ""regression tests""}, {""type"": ""send"", ""target"": ""Priya""}]}",47.438672847063216,0.4450368999969214,1.4466286999959266,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""action_items"", ""response"": ""{\""items\"": [{\""task\"": \""Update the docs\"", \""description\"": \""Update documentation files with new information.\"", \""priority\"": 1}, {\""task\"": \""Run regression tests\"", \""description\"": \""Execute regression tests to ensure functionality and accuracy.\"", \""priority\"": 2}, {\""task\"": \""Send summary to Priya\"", \""description\"": \""Prepare a concise summary of the updates and send it to Priya for review.\"", \""priority\"": 3}]}"", ""tone"": """" , ""key_points"": [] , ""constraints_followed"": [] , ""risks_or_caveats"": [] }",True,,"{""intent"": ""action_items"", ""response"": ""{\""action_item\"": [{\""description\"": \""Update the docs\"", \""type\"": \""to-do\""}, {\""description\"": \""Run the regression tests\"", \""type\"": \""to-do\""}, {\""description\"": \""Send the summary to Priya\"", \""type\"": \""to-do\""}]"" , ""tone"": """" , ""key_points"": [], ""constraints_followed"": [] , ""risks_or_caveats"": [] }",True,,"{""intent"": ""execute_action"", ""response"": ""{\""actions\"": [{\""action_name\"": \""update_docs\"", \""description\"": \""Update documentation files.\"", \""params\"": []}, {\""action_name\"": \""run_regression_tests\"", \""description\"": \""Run the regression tests.\"", \""params\"": []}, {\""action_name\"": \""send_summary_to_Priya\"", \""description\"": \""Send summary of tasks to Priya.\"", \""params\"": {}}]}"" , ""tone"": ""neutral"", ""key_points"": [""update_docs"", ""run_regression_tests"", ""send_summary_to_Priya""] , ""constraints_followed"": [] , ""risks_or_caveats"":[] }"
llama3.2:3b,107,Chat & Generation,easy,"[""tone_control"", ""length_constraint""]",Should produce a short apology with a professional tone and respect the word limit.,"[""schema_validity"", ""tone_control"", ""concision"", ""instruction_following""]",null,,Write a concise apology message for a late reply to a customer. Keep it under 40 words and professional. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""type"":""Object"",""message"":"""",""properties"":{""status"":{""type"":""String"",""enum"":[""error""]},""error"":{""type"":""Object"",""properties"":{},""required"":true},""title"":{""type"":""String"",""required"":true},""detail"":{""type"":""String"",""required"":true}}}",48.32281609206006,0.410777600001893,1.6407690000050934,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""apology"", ""response"": ""Sorry for the delay in responding to your inquiry. We appreciate your patience and will respond as soon as possible."", ""tone"": ""polite"", ""key_points"": [""late reply"", ""customer appreciation""] , ""constraints_followed"": [] ,""risks_or_caveats"": []}",True,,"{""intent"": ""apology"", ""response"": ""Sorry for the delay in responding to your inquiry. We apologize for the inconvenience caused and appreciate your patience. Our team is working on it."", ""tone"": ""professional"", ""key_points"": [""late reply"", ""customer service"", ""apology""] ,""constraints_followed"":[] , ""risks_or_caveats"":[]}",True,,"{""intent"": ""apology"", ""response"": ""Sorry for the delay in responding to your inquiry. We are working on it now and will provide an update as soon as possible."",""tone"": ""professional"", ""key_points"": ["" apologizing"",""delayed response""] , ""constraints_followed"": [] ,""risks_or_caveats"": [""the delay is not a reflection of the quality of our service""]}"
llama3.2:3b,108,Chat & Generation,easy,"[""classification"", ""response_generation""]",Should classify as billing and provide a concise response that acknowledges the issue and offers help.,"[""schema_validity"", ""classification_accuracy"", ""instruction_following"", ""tone_control""]",null,,"Classify this request as sales, support, or billing: 'My invoice amount looks wrong.' Then write a one-sentence response. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.","{""type"": ""response"", ""status"": 200, ""body"": {""errors"": ""[\""Please contact our support team at https://example.com/support for assistance with your invoice.\""]""}}",47.5537461355151,0.432865299997502,1.3438152999879094,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""billing"", ""response"": ""I'd be happy to help you review your invoice, can you please provide more details about what's incorrect?"" , ""tone"": ""helpful"", ""key_points"": [""invoice"", ""amount""], ""constraints_followed"": [""return_valid_json""] , ""risks_or_caveats"": []}",True,,"{""intent"": ""support"", ""response"": ""I'd be happy to help you review your invoice, can you please provide me with more details about what's incorrect?"" ,""tone"": """",""key_points"": [""incorrect invoice amount"",""invoice details""],""constraints_followed"": [""return only valid JSON matching the schema"",""do not include markdown or any text outside JSON""],""risks_or_caveats"": [""unsure about calculation method used for invoice amount""]}",True,,"{""intent"": ""invoice discrepancy"", ""response"": ""I'd be happy to help you review your invoice."",""tone"": ""helpful"",""key_points"": [""We'll need more information from you to investigate""],""constraints_followed"": [],""risks_or_caveats"": [""Unnecessary claims might lead to delayed billing""]}"
llama3.2:3b,109,Chat & Generation,easy,"[""rewriting"", ""tone_control""]",Should soften the wording while preserving the request.,"[""schema_validity"", ""tone_control"", ""instruction_following"", ""concision""]",null,,Rewrite this message to sound warmer but still professional: 'Send me the file today.' Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"Here is a rewritten version of the message with a warmer tone while maintaining professionalism:

{
  ""type"": ""object"",
  ""properties"": {
    ""response"": {
      ""$ref"": ""#/definitions/response""
    }
  },
  ""required"": [
    ""response""
  ],
  ""definitions"": {
    ""response"": {
      ""type"": ""string""
    }
  }
}

{
  ""type"": ""object"",
  ""properties"": {
    ""message"": {
      ""type"": ""string""
    }
  },
  ""required"": [
    ""message""
  ]
}",49.60296082512655,0.399489999996149,3.0583644999860553,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""request_file"", ""response"": ""Please find the requested file attached to this message."", ""tone"": ""warm_and_professional"", ""key_points"": [""file"", ""attached""] ,""constraints_followed"": [""return_valid_json"", ""no_markdown"", ""text_outside_json""] ,""risks_or_caveats"": [""file may not be attached to the message"", ""file may not be in a format that can be opened by the recipient""]}",True,,"{""intent"": ""request_file"", ""response"": ""{\""message\"": \""The file will be sent to you as soon as possible.\"", \""action\"": \""send_file\""}"" ,""tone"": ""warm and friendly yet professional"" ,""key_points"": [""file will be sent promptly"", ""we value your time""] ,""constraints_followed"": [""return valid json"", ""no markdown or text outside json""] ,""risks_or_caveats"": [""file may be sent later than expected due to external factors"", ""please confirm file receipt upon receiving it""]}",True,,"{""intent"": ""request_file"", ""response"": ""Please provide the file by the end of the day."", ""tone"": ""friendly"", ""key_points"": [""file"", ""due_date""] ,""constraints_followed"": [] ,""risks_or_caveats"": []}"
llama3.2:3b,110,Chat & Generation,easy,"[""explanation"", ""stakeholder_communication""]","Should explain backup benefits in simple, non-technical terms and keep it short.","[""schema_validity"", ""tone_control"", ""factual_grounding"", ""concision""]",null,,Explain why backups matter before a software upgrade in one short paragraph for a small business owner. Use the Chat & Generation JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,"{""description"": ""Regular backups are crucial before performing a software upgrade to ensure minimal disruption to your business."", ""type"": ""object"", ""properties"": {""returnValidation"": {""type"": ""boolean"", ""default"": false}}}

  {
  ""returnValidation"": true,
  ""description"": ""If your data is lost or corrupted during the upgrade process, having regular backups will allow you to quickly restore your systems and get back to normal operations, minimizing downtime and potential losses.""
}",49.52321524522658,0.36344409998855554,2.515874199991231,2697.50390625,1.0,,Chat:ollama:Llama-3.2-3B-Instruct:llama3.2:3b,Llama-3.2-3B-Instruct,llama3.2:3b,ollama,,large,3.2B,60.3,False,True,,"{""intent"": ""explain"", ""response"": ""Backups are crucial before a software upgrade to ensure minimal disruption to your business. If something goes wrong during the upgrade, having a recent backup allows you to quickly restore your system to its previous state, minimizing data loss and downtime."" , ""tone"": ""informative"", ""key_points"": [""data_loss"", ""downtime""], ""constraints_followed"": [""Return only valid JSON matching the schema""] , ""risks_or_caveats"": [""data corruption"", ""system instability""]}",True,,"{
    ""intent"": ""informative"",
    ""response"": ""Backups are crucial before a software upgrade to prevent data loss in case something goes wrong during the process."",
    ""tone"": ""serious""
  , ""key_points"":
        [
            ""Data corruption or overwrite can occur during an upgrade, leading to permanent data loss.""
            , ""Regular backups ensure that critical business information is preserved even if the upgrade fails or causes issues.""
            , ""This allows for a swift recovery and minimizes downtime for your business.""
        ]
    , ""constraints_followed"": [
        ""Return only valid JSON matching the schema"",
        ""Do not include markdown or any text outside JSON""
      ] ,
    ""risks_or_caveats"":
        [
            ""Insufficient data storage for backups, resulting in incomplete or lost data.""
            , ""Human error during backup process, such as forgetting to run the final copy.""
            , ""Network connectivity issues preventing backups from being made.""
        ]
}",True,,"{""intent"": ""explaining-importance-of-backups-before-software-upgrade"", ""response"": ""As a small business owner, it's essential to back up your data before a software upgrade to prevent potential losses and disruptions to your operations. Backups ensure that you can recover your important files and systems quickly in case something goes wrong during the upgrade process, reducing downtime and financial losses."",""tone"": ""null"", ""key_points"": [""Data loss and disruption are common risks during software upgrades"",""Recovering from a backup minimizes business impact"", ""Regular backups reduce stress and downtime""],""constraints_followed"": [],""risks_or_caveats"":[]}"
