model,prompt_id,category,difficulty,skill_targets,expected_behavior,scoring_focus,image_asset_spec,image_path,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,queue_id,requested_name,resolved_model_ref,resolved_runtime,variant_note,fit_level,size,estimated_tps,is_moe,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
qwen3.5:2b,151,Multimodal Vision,easy,"[""ocr"", ""receipt_reading""]","Should extract the visible receipt details accurately, mention the currency only if it is clearly shown, and avoid guessing unclear text.","[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""receipt"", ""must_contain"": [""merchant name"", ""date"", ""total amount"", ""one clear line item""], ""avoid"": [""blurry text"", ""heavy shadows"", ""foreign-language mix that obscures totals""]}",,"An image of a simple receipt is provided. Read the merchant name, date, and total amount if clearly visible, and say what currency is shown if it can be determined from the image. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,152,Multimodal Vision,easy,"[""chart_reading"", ""ocr""]",Should summarize the chart trend and extract visible labels without inventing hidden values.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""chart"", ""must_contain"": [""three to five bars"", ""visible axis labels"", ""one obvious tallest bar""], ""avoid"": [""overlapping annotations"", ""tiny unreadable text"", ""3D chart styling""]}",,"An image of a simple bar chart is provided. Describe the trend, identify the tallest bar, and extract any axis labels that are readable. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,153,Multimodal Vision,easy,"[""ocr"", ""terminal_analysis""]",Should transcribe the visible error and identify the related command only when visible.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""terminal"", ""must_contain"": [""single terminal window"", ""one visible error message"", ""command line prompt""], ""avoid"": [""multiple overlapping panes"", ""tiny font"", ""cropped top bar""]}",,An image of a terminal error screenshot is provided. Extract the exact error message if readable and identify the command or filename shown near it. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,154,Multimodal Vision,easy,"[""ui_reading"", ""ocr""]","Should extract field labels and values, and note completion state based only on visible evidence.","[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""form"", ""must_contain"": [""two to four labeled fields"", ""at least one filled value"", ""clear submit button""], ""avoid"": [""tiny text"", ""dropdown menus with hidden choices"", ""modal popups""]}",,"An image of a short form screenshot is provided. Read the visible field labels and any entered values, then describe whether the form appears completed or partially filled. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,155,Multimodal Vision,easy,"[""ocr"", ""handwriting""]",Should transcribe readable handwriting faithfully and clearly mark uncertain text.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""handwritten_note"", ""must_contain"": [""short handwritten note"", ""clear line breaks"", ""one or two distinct sentences""], ""avoid"": [""extremely cursive writing"", ""low contrast pencil"", ""paper folds covering text""]}",,"An image of a handwritten note is provided. Transcribe the legible words, list any uncertain words separately, and keep the order of the note. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,156,Multimodal Vision,easy,"[""table_reading"", ""ocr""]",Should read the table accurately and note blank cells without speculation.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""table"", ""must_contain"": [""clear grid lines"", ""three columns minimum"", ""two visible rows""], ""avoid"": [""rotated text"", ""merged cells that hide headers"", ""decorative styling""]}",,"An image of a simple table is provided. Extract the headers and the first two rows, and mention if any cells are blank. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,157,Multimodal Vision,easy,"[""ui_reading"", ""state_extraction""]",Should identify visible toggles and their states correctly.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""ui_screenshot"", ""must_contain"": [""toggle switches"", ""setting labels"", ""one heading""], ""avoid"": [""tiny sidebar text"", ""dark theme with low contrast"", ""popover dialogs""]}",,An image of a UI settings page is provided. Identify the setting names and whether each one is enabled or disabled. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.,,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,158,Multimodal Vision,easy,"[""chart_reading"", ""ocr""]",Should identify the overall direction and extract a visible data label if readable.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""chart"", ""must_contain"": [""single line chart"", ""visible axis labels"", ""at least one point label""], ""avoid"": [""multiple lines with identical colors"", ""tiny legend"", ""cropped axes""]}",,"An image of a line chart is provided. State whether the line generally rises, falls, or stays roughly flat, and mention one visible data label if present. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,159,Multimodal Vision,easy,"[""ocr"", ""contact_extraction""]",Should extract the business card fields accurately and avoid guessing missing contact details.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""document"", ""must_contain"": [""name"", ""company"", ""email"", ""phone or title""], ""avoid"": [""glare over text"", ""small font"", ""multi-card collage""]}",,"An image of a business card is provided. Extract the person's name, company, and email if visible. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
qwen3.5:2b,160,Multimodal Vision,easy,"[""diagram_reading"", ""spatial_reasoning""]",Should identify labels and describe simple spatial relationships without inventing hidden components.,"[""schema_validity"", ""visual_grounding"", ""extraction_accuracy"", ""uncertainty_calibration""]","{""asset_type"": ""diagram"", ""must_contain"": [""center label"", ""three surrounding parts"", ""simple arrows""], ""avoid"": [""dense technical diagram"", ""overlapping arrows"", ""tiny unreadable labels""]}",,"An image of a labeled diagram is provided. Identify the main parts and the label in the center, and describe the relative placement of the parts. Follow the Multimodal Vision JSON schema and include: Return only valid JSON matching the schema. Do not include markdown or any text outside JSON.",,0.0,0.0,0.0,0,1.0,Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.,Vision:ollama:Qwen3.5-2B:qwen3.5:2b,Qwen3.5-2B,qwen3.5:2b,ollama,,large,2.3B,85.1,False,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",,False,"Schema mode failed (4 attempts), then fallback: Multimodal Vision prompt requires image_path. Provided: None. Real image assets must be present for vision benchmarking.",
